Name,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Joohyung Lee,Arizona State University,2005,Associate,Natural Language & Speech,Seoul National University - Seoul - Korea,,University of Texas - Austin - USA,,http://cidse.engineering.asu.edu/directory/joohyung-lee/,,,
Brian Nelson,Arizona State University,,Associate,Computer Education,Washington State University - USA,Saint Michaels College - USA,Harvard University - USA,,http://cidse.engineering.asu.edu/directory/nelson-brian/,,,
Andrea Richa,Arizona State University,1998,Associate,Algorithms & Theory,Federal University of Rio de Janeiro - Brazil,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://cidse.engineering.asu.edu/directory/andrea-richa/,,,
Violet Syrotiuk,Arizona State University,2002,Associate,Networks & Communications,University of Alberta - Canada,University of British Columbia - Canada,University of Waterloo - Ontario - Canada,,http://cidse.engineering.asu.edu/directory/syrotiuk-violet/,,,
Peter Wonka,Arizona State University,2004,Associate,Graphics,Vienna University of Technology - Austria,Vienna University of Technology - Austria,Vienna University of Technology - Austria,,http://cidse.engineering.asu.edu/directory/wonka-peter/,,,
Jieping Ye,Arizona State University,2005,Associate,Machine Learning & Pattern Recognition,Fudan University - Shanghai - China,National University of Singapore - Singapore,University of Minnesota - Twin Cities - USA,,http://cidse.engineering.asu.edu/directory/ye-jieping/,,,
Georgios Fainekos,Arizona State University,2009,Assistant,Real-Time & Embedded Systems,National Technical University of Athens - Greece,University of Pennsylvania - USA,University of Pennsylvania - USA,,http://cidse.engineering.asu.edu/directory/fainekos-georgios/,,,
Aviral Shrivastava,Arizona State University,2006,Assistant,Real-Time & Embedded Systems,Indian Institute of Technology - Delhi - India,University of California - Irvine - USA,University of California - Irvine - USA,,http://cidse.engineering.asu.edu/directory/shrivastava-aviral/,,,
Yalin Wang,Arizona State University,2010,Assistant,Computer Vision,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Washington - USA,,http://cidse.engineering.asu.edu/directory/wang-yalin/,,,
Assaf J. Kfoury,Boston University,,Full,Programming Languages,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/kfoury/,http://cns.bu.edu/people/extended.html,,
Azer Bestavros,Boston University,1991,Full,Networks & Communications,Alexandria University - Egypt,Alexandria University - Egypt,Harvard University - USA,,http://azer.bestavros.net/,,,
Evimaria Terzi,Boston University,2009,Associate,Data Mining,Aristotle University of Thessaloniki - Greece,Purdue University - USA,University of Helsinki - Finland,Helsinki Institute for Information Technology - Finland,http://www.cs.bu.edu/fac/evimaria/,,,
George Kollios,Boston University,2000,Full,Databases,National Technical University of Athens - Greece,Polytechnic University - Brooklyn - New York - USA,Polytechnic University - Brooklyn - New York - USA,,http://www.cs.bu.edu/fac/gkollios/,,,
Hongwei Xi,Boston University,2001,Associate,Programming Languages,Nanjing University - Ch,,Carnegie Mellon University - USA,,http://www.cs.bu.edu/fac/hwxi/,,,
Ibrahim Matta,Boston University,1999,Full,Networks & Communications,Alexandria University - Egypt,Alexandria University - Egypt,University of Maryland - College Park - USA,,http://www.cs.bu.edu/fac/matta/,,,
John Byers,Boston University,1999,Full,Networks & Communications,Cornell University - USA,,University of California - Berkeley - USA,,http://www.cs.bu.edu/fac/byers/,,,
Jonathan Appavoo,Boston University,2009,Assistant,Distributed & Parallel Computing,McMaster University - Canada,University of Toronto - Canada,University of Toronto - Canada,IBM Research - Zurich - Switzerland,http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html,,,
Leonid Levin,Boston University,1980,Full,Algorithms & Theory,Moscow State University - Russia,Moscow State University - Russia,Moscow State University - Russia,,http://www.bu.edu/cs/leonid-levin/,,,
Leonid Reyzin,Boston University,2001,Associate,Security & Privacy,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/reyzin/,,,
Lorenzo Orecchia,Boston University,2014,Assistant,Algorithms & Theory,Princeton University - USA,,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,http://orecchia.net/,,,
Margrit Betke,Boston University,2000,Full,Computer Vision,University of Bonn - Germany,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/betke/,,,
Mark Crovella,Boston University,1994,Full,Networks & Communications,Cornell University - USA,State University of New York - Buffalo - USA,University of Rochester - USA,,http://www.cs.bu.edu/fac/crovella/,,,
Peter Gacs,Boston University,1984,Full,Algorithms & Theory,,Eotvos University - Budapest - Hungary,J.W. Goethe University Frankfurt am Main - Germany,,http://www.cs.bu.edu/fac/gacs/,,,
Ran Canetti,Boston University,,Full,Security & Privacy,,,Weizmann Institute of Science - Israel,,http://www.cs.bu.edu/~canetti/,,,
Richard West,Boston University,2006,Associate,Operating Systems,University of Newcastle - United Kindom,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.cs.bu.edu/fac/richwest/,,,
Sharon Goldberg,Boston University,2010,Assistant,Security & Privacy,University of Toronto - Canada,Princeton University - USA,Princeton University - USA,Microsoft Research - USA,http://www.cs.bu.edu/fac/goldbe/,,,
Stan Sclaroff,Boston University,1995,Full,Computer Vision,Tufts University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/sclaroff/,,,
Steve Homer,Boston University,1982,Full,Algorithms & Theory,University of California - USA,,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/homer/,,,
Wayne Snyder,Boston University,1995,Associate,Multimedia,,Tufts University - USA,University of Pennsylvania - USA,,http://www.cs.bu.edu/fac/snyder/,,,
Amy Greenwald,Brown University,2000,Associate,Artificial Intelligence,University of Pennsylvania - USA,University of Oxford - United Kingdom,New York University - USA,IBM Thomas J. Watson Research Center - USA,https://research.brown.edu/pdf/1106970084.pdf?nocache=815818275http://cs.brown.edu/people/faculty/amy.html,,,
Andries van Dam,Brown University,1965,Full,Graphics,Swarthmore College - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,http://cs.brown.edu/people/faculty/avd.html,,,
Anna Lysyanskaya,Brown University,2002,Full,Security & Privacy,Smith College - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,https://research.brown.edu/pdf/1106970028.pdf?nocache=50031346,,,
Benjamin Raphael,Brown University,2006,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,,University of California - San Diego - USA,University of California - San Diego - USA,https://research.brown.edu/pdf/1154701099.pdf?nocache=646513249,http://www.cs.brown.edu/~braphael/,,
Chad Jenkins,Brown University,2004,Full,Artificial Intelligence,Alma College - USA,Georgia Institute of Technology - USA,University of Southern California - USA,,https://research.brown.edu/pdf/10404.pdf?nocache=22312599,,,
Claire Mathieu,Brown University,2004,Full,Algorithms & Theory,University of Paris VII: Denis Diderot - France,Paris XI - France,Paris XI - France,Princeton University - USA,http://cs.brown.edu/people/claire/vita-public.pdf,,,
David Laidlaw,Brown University,1998,Full,Graphics,Brown University - USA,Brown University - USA,California Institute of Technology - USA,California Institute of Technology - USA,https://research.brown.edu/pdf/1106970029.pdf?nocache=2041876042,,,
Eli Upfal,Brown University,1998,Full,Algorithms & Theory,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,Hebrew University of Jerusalem - Israel,Stanford University - USA,http://cs.brown.edu/people/eli/biography.htm,,,
Erik Sudderth,Brown University,2009,Assistant,Machine Learning & Pattern Recognition,University of California - San Diego - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://cs.brown.edu/people/sudderth/bio.html,https://research.brown.edu/pdf/1256049139.pdf?nocache=647114139,,
Eugene Charniak,Brown University,1978,Full,Natural Language & Speech,University of Chicago - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://cs.brown.edu/people/faculty/ec/,https://research.brown.edu/pdf/1106970087.pdf?nocache=499018897,,
Franco Preparata,Brown University,1991,Full,Algorithms & Theory,,,University of Rome - La Sapienza - Italy,Consiglio Nazionale delle Ricerche - Italy,https://research.brown.edu/pdf/1106970027.pdf?nocache=1294867772,,,
James Hays,Brown University,2009,Assistant,Computer Vision,Georgia Institute of Technology - USA,,Carnegie Mellon University - USA,Massachusetts Institute of Technology - USA,http://cs.brown.edu/people/hays/,http://www.cs.cmu.edu/~jhhays/cv.pdf,,
Jeff Huang,Brown University,2013,Assistant,Human-Computer Interaction,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Washington - USA,,http://jeffhuang.com/,,,
John Hughes,Brown University,1984,Full,Graphics,Princeton University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,https://research.brown.edu/pdf/1106970082.pdf?nocache=1528204531,http://cs.brown.edu/people/jfh/contact/cv.pdf,,
John Savage,Brown University,1967,Full,Security & Privacy,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,https://research.brown.edu/pdf/1106970026.pdf?nocache=1725575445,http://www.cs.brown.edu/~jes/,,
Maurice Herlihy,Brown University,1994,Full,Distributed & Parallel Computing,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,https://research.brown.edu/pdf/1106970166.pdf?nocache=2117333914,,,
Michael Littman,Brown University,2012,Full,Machine Learning & Pattern Recognition,Yale University - USA,Yale University - USA,Brown University - USA,,https://research.brown.edu/myresearch/Michael_Littman,,,
Paul Valiant,Brown University,2013,Assistant,Algorithms & Theory,Stanford University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://news.brown.edu/new-faculty/2012-13/paul-valiant,,,
Pedro Felzenszwalb,Brown University,2011,Associate,Computer Vision,Cornell University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://cs.brown.edu/people/pff/,,,
Philip Klein,Brown University,1989,Full,Algorithms & Theory,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Harvard University - USA,https://research.brown.edu/pdf/1106970030.pdf?nocache=1823784020,,,
Roberto Tamassia,Brown University,1988,Full,Security & Privacy,,University of Rome - La Sapienza - Italy,University of Illinois at Urbana-Champaign - USA,,https://research.brown.edu/research/profile.php?id=1106970024&r=1,,,
Rodrigo Fonseca,Brown University,2009,Assistant,Networks & Communications,Universidade Federal de Minas Gerais - Brazil,Universidade Federal de Minas Gerais - Brazil,University of California - Berkeley - USA,Yahoo Research - USA,https://research.brown.edu/pdf/1270227184.pdf?nocache=991428578,,,
Shriram Krishnamurthi,Brown University,2000,Full,Programming Languages,Ohio Wesleyan University - USA,,Rice University - USA,,https://research.brown.edu/pdf/1134569382.pdf?nocache=898518043,,,
Sorin Istrail,Brown University,2005,Full,Bioinformatics & Computational Biology,Alexandru Ioan Cuza University - Romania,,University of Bucharest - Romania,,https://research.brown.edu/pdf/1127248942.pdf?nocache=630690591,,,
Stan Zdonik,Brown University,1983,Full,Databases,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.brown.edu/~sbz/,,,
Stefanie Tellex,Brown University,2013,Assistant,Artificial Intelligence,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://cs.brown.edu/people/stefie10/index.html,,,
Steven Reiss,Brown University,1977,Full,Software Engineering,Dartmouth College - USA,Yale University - USA,Yale University - USA,,https://research.brown.edu/pdf/1106970168.pdf?nocache=421235222,,,
Thomas Doeppner,Brown University,1981,Research,Operating Systems,Cornell University - USA,Princeton University - USA,Princeton University - USA,,https://research.brown.edu/pdf/1106970085.pdf?nocache=597043778,,,
Tim Kraska,Brown University,2013,Assistant,Databases,University of Münster - Germany,University of Sydney - Australia,Swiss Federal Institute of Technology (ETH) - Switzerland,University of California - Berkeley - USA,http://cs.brown.edu/people/kraskat/cv.html,,,
Ugur Cetintemel,Brown University,2001,Full,Databases,Bilkent University - Turkey,Bilkent University - Turkey,University of Maryland - College Park - USA,,https://sites.google.com/a/brown.edu/ugur-cetintemel/,https://research.brown.edu/pdf/1134569408.pdf?nocache=1099151795,,
Adam Wierman,California Institute of Technology,2007,Full,Operating Systems,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://users.cms.caltech.edu/~adamw/,http://www.work.caltech.edu/,http://users.cms.caltech.edu/~adamw/papers/wierman-cv.pdf,http://www.cms.caltech.edu/people/3336/profile
Alain J. Martin,California Institute of Technology,1969,Full,Hardware & Architecture,Aix-Marseille University - France,,Institut National Polytechnique de Grenoble - France,,http://users.cms.caltech.edu/~alains/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/3119/profile,
Alan H. Barr,California Institute of Technology,1984,Full,Graphics,Rensselaer Polytechnic Institute - USA,Rensselaer Polytechnic Institute - USA,Indian Institute of Technology - Kanpur - India,,http://www.gg.caltech.edu/index.html,http://www.work.caltech.edu/,http://eas.caltech.edu/people/2923/profile,
Christopher Umans,California Institute of Technology,2002,Full,Algorithms & Theory,Williams College - USA,,University of California - Berkeley - USA,Microsoft Research - USA,http://users.cms.caltech.edu/~umans/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/3237/profile,
Erik Winfree,California Institute of Technology,2000,Full,Bioinformatics & Computational Biology,University of Chicago - USA,,California Institute of Technology - USA,Princeton University - USA,http://www.dna.caltech.edu/~winfree/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/3255/profile,http://www.dna.caltech.edu/~winfree/
Katrina Ligett,California Institute of Technology,2011,Assistant,Algorithms & Theory,Brown University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Cornell University - USA,http://users.cms.caltech.edu/~katrina/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/4985/profile,
Leonard J. Schulman,California Institute of Technology,2000,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://users.cms.caltech.edu/~schulman/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/3198/profile,http://users.cms.caltech.edu/~schulman/
Mathieu Desbrun,California Institute of Technology,1997,Full,Graphics,École Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble - France,Institut National Polytechnique de Grenoble - France,Institut National Polytechnique de Grenoble - France,,http://www.geometry.caltech.edu/~mathieu/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/2987/profile,
Peter Schroeder,California Institute of Technology,1995,Full,Graphics,Technical University of Berlin - Germany,Massachusetts Institute of Technology - USA,Princeton University - USA,,http://www.cms.caltech.edu/people/3197/profile,http://www.work.caltech.edu/,,
Steven Low,California Institute of Technology,2000,Full,Networks & Communications,Cornell University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://users.cms.caltech.edu/~slow/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/3109/profile,
Thomas Vidick,California Institute of Technology,2014,Assistant,Scientific Computing,École Normale Supérieure - France,University of Paris VII: Denis Diderot - France,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,http://people.csail.mit.edu/vidick/,,,
Tracey C. Ho,California Institute of Technology,2005,Assistant,Networks & Communications,Massachusetts Institute of Technology - USA,California Institute of Technology - USA,California Institute of Technology - USA,University of Illinois at Urbana-Champaign - USA,http://www.its.caltech.edu/~tho/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/3053/profile,
Venkat Chandrasekaran,California Institute of Technology,2012,Assistant,Algorithms & Theory,Rice University - USA,,Massachusetts Institute of Technology - USA,,http://users.cms.caltech.edu/~venkatc/,http://www.work.caltech.edu/,,
Yaser S. Abu-Mostafa,California Institute of Technology,1983,Full,Machine Learning & Pattern Recognition,Cairo University - Cairo - Egypt,Georgia Institute of Technology - USA,California Institute of Technology - USA,,http://www.work.caltech.edu/,http://eas.caltech.edu/people/2893/profile,,
Yisong Yue,California Institute of Technology,2014,Assistant,Machine Learning & Pattern Recognition,University of Illinois at Urbana-Champaign - USA,,Cornell University - USA,Carnegie Mellon University - USA,http://www.yisongyue.com/,,,
Aarti Singh,Carnegie Mellon University,2009,Assistant,Machine Learning & Pattern Recognition,University of Delhi - India,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,Princeton University - USA,http://www.cs.cmu.edu/~aarti/bio-aarti_online.pdf,,,
Adrien Treuille,Carnegie Mellon University,2008,Assistant,Scientific Computing,,,University of Washington - USA,University of Washington - USA,http://www.cs.cmu.edu/~treuille/,,,
Alan Black,Carnegie Mellon University,1999,Full,Natural Language & Speech,Coventry University - United Kingdom,University of Edinburgh - United Kingdom,University of Edinburgh - United Kingdom,,http://en.wikipedia.org/wiki/Alan_W._Black,,,
Alan Montgomery,Carnegie Mellon University,1999,Associate,Data Mining,University of Illinois at Chicago - USA,University of Chicago - USA,University of Chicago - USA,,http://public.tepper.cmu.edu/facultydirectory/FacultyDirectoryProfile.aspx?id=100,http://www.andrew.cmu.edu/user/alm3/,,
Alexander J. Smola,Carnegie Mellon University,2013,Full,Machine Learning & Pattern Recognition,Technical University of Munich - Germany,Technical University of Munich - Germany,Technical University of Berlin - Germany,,http://alex.smola.org/,,,
Alexander Waibel,Carnegie Mellon University,,Full,Machine Learning & Pattern Recognition,Massachusetts Institute of Technology - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~ahw/bio.html,,,
Amy Ogan,Carnegie Mellon University,2014,Assistant,Computer Education,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,http://amyogan.com/,,,
Andre Platzer,Carnegie Mellon University,2008,Assistant,Scientific Computing,,Karlsruhe Institute of Technology - Germany,Carl von Ossietzky University of Oldenburg - Germany,,http://symbolaris.com/meta/Platzer-CV.pdf,,,
Andrew Moore,Carnegie Mellon University,1993,Full,Machine Learning & Pattern Recognition,,,University of Cambridge - United Kingdom,Massachusetts Institute of Technology - USA,http://www-2.cs.cmu.edu/~awm/,http://www.cs.cmu.edu/~awm/bio.html,,
Andy Pavlo,Carnegie Mellon University,2013,Assistant,Databases,Rochester Institute of Technology - USA,Brown University - USA,Brown University - USA,,http://www.cs.cmu.edu/~pavlo/,,,
Aniket Kittur,Carnegie Mellon University,2007,Assistant,Human-Computer Interaction,Princeton University - USA,,University of California - Los Angeles - USA,,http://kittur.org/img/Kittur_CV.pdf,,,
Anind Dey,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Simon Fraser University - Canada,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.cs.cmu.edu/~anind/,,,
Ann Lee,Carnegie Mellon University,2005,Associate,Machine Learning & Pattern Recognition,Chalmers University of Technology - Sweden,Chalmers University of Technology - Sweden,Brown University - USA,,http://www.stat.cmu.edu/~annlee/CV_Lee.pdf,,,
Anupam Datta,Carnegie Mellon University,2007,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur - India,Stanford University - USA,Stanford University - USA,,https://www.andrew.cmu.edu/user/danupam/,http://www.ece.cmu.edu/directory/department/faculty/D/Anupam_Datta_3846.html,,
Anupam Gupta,Carnegie Mellon University,2004,Associate,Algorithms & Theory,Indian Institute of Technology - Kanpur - India,,University of California - Berkeley - USA,,http://www.cs.cmu.edu/~anupamg/,http://www.cs.cmu.edu/~anupamg/newpubspage/my-papers.html,,
Ariel Procaccia,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,Hebrew University of Jerusalem - Israel,,Hebrew University of Jerusalem - Israel,Microsoft Israel R&D Center - Harvard University - USA,http://www.cs.cmu.edu/~arielpro/cv.html,,,
Avrim Blum,Carnegie Mellon University,1991,Full,Machine Learning & Pattern Recognition,,,Massachusetts Institute of Technology - USA,,http://en.wikipedia.org/wiki/Avrim_Blum,,,
Barnabás Póczos,Carnegie Mellon University,2010,Assistant,Algorithms & Theory,,Eotvos University - Budapest - Hungary,Eotvos University - Budapest - Hungary,University of Alberta - Canada,http://www.cs.cmu.edu/~bapoczos/,,,
Bhiksha Raj,Carnegie Mellon University,,Associate,Natural Language & Speech,Indian Institute of Technology - Madras - India,,Carnegie Mellon University - USA,,http://mlsp.cs.cmu.edu/people/bhiksha/index.php,http://ravi.iiit.ac.in/~sig/New/WISSAP06/WISSAP06/www.ece.iisc.ernet.in/_ieeesp/wissap06/bhiksha_bio.html,,
Brad Myers,Carnegie Mellon University,1987,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Toronto - Canada,,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/bam/www/resume.html,,,
Carl Kingsford,Carnegie Mellon University,2012,Associate,Bioinformatics & Computational Biology,,,Princeton University - USA,,https://www.umiacs.umd.edu/people/carlk,,,
Carolyn Penstein Rose,Carnegie Mellon University,2003,Associate,Natural Language & Speech,University of California - Irvine - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~cprose/2013-CV-Rose-External-Web.pdf,,,
Chris Atkeson,Carnegie Mellon University,2000,Full,Human-Computer Interaction,,Harvard University - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~cga/,,,
Chris Harrison,Carnegie Mellon University,2013,Assistant,Human-Computer Interaction,New York University - USA,New York University - USA,Carnegie Mellon University - USA,,http://www.chrisharrison.net/HarrisonCVweb.pdf,,,
Christian Kästner,Carnegie Mellon University,2012,Assistant,Software Engineering,,Otto von Guericke University of Magdeburg - Germany,Otto von Guericke University of Magdeburg - Germany,,http://www.cs.cmu.edu/~ckaestne/,,,
Christine Neuwirth,Carnegie Mellon University,1983,Full,Human-Computer Interaction,University of Wisconsin - Madison - USA,State University of New York - Stony Brook - USA,Carnegie Mellon University - USA,,http://www.cmu.edu/hss/english/people/faculty/bios/chris-neuwirth.html,,,
Christopher Dyer,Carnegie Mellon University,2012,Assistant,Natural Language & Speech,Duke University - USA,,University of Maryland - College Park - USA,Carnegie Mellon University - USA,https://www.cs.cmu.edu/~cdyer/,https://www.cs.cmu.edu/~cdyer/cv.pdf,,
Christopher Langmead,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,Oberlin College - USA,Dartmouth College - USA,Dartmouth College - USA,,http://www.cs.cmu.edu/~cjl/,http://www-2.cs.cmu.edu/~cjl/,,
Christos Faloutsos,Carnegie Mellon University,1998,Full,Data Mining,National Technical University of Athens - Greece,University of Toronto - Canada,University of Toronto - Canada,,http://www.cs.cmu.edu/~christos/webvitae.pdf,,,
Claire Le Goues,Carnegie Mellon University,2013,Assistant,Software Engineering,Harvard University - USA,University of Virginia - USA,University of Virginia - USA,,http://www.cs.cmu.edu/~clegoues/#longer,,,
Daniel D. Sleator,Carnegie Mellon University,1999,Full,Algorithms & Theory,,,Stanford University - USA,,http://www-2.cs.cmu.edu/~sleator/,,,
Daniel P. Siewiorek,Carnegie Mellon University,1972,Full,Human-Computer Interaction,University of Michigan - USA,Stanford University - USA,Stanford University - USA,,http://www.cmu.edu/qolt/People/leadership/siewiorek-dan.html,http://www.ieeeghn.org/wiki/index.php/Oral-History:Daniel_Siewiorek,,
Dannie Durand,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,,,Columbia University - USA,University of Pennsylvania - USA,http://www.cs.cmu.edu/~durand/,,,
David Andersen,Carnegie Mellon University,,Associate,Networks & Communications,University of Utah - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~dga/,,,
David Brumley,Carnegie Mellon University,,Assistant,Security & Privacy,University of Northern Colorado - USA,Stanford University - USA,Carnegie Mellon University - USA,,http://users.ece.cmu.edu/~dbrumley/index.html,,,
David Farber,Carnegie Mellon University,,Full,Programming Languages,Stevens Institute of Technology - USA,Stevens Institute of Technology - USA,,,http://www.epp.cmu.edu/people/bios/farber.html,,,
David Garlan,Carnegie Mellon University,,Full,Software Engineering,,,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~garlan/,,,
David O'Hallaron,Carnegie Mellon University,1989,Full,Scientific Computing,Virginia Polytechnic Institute and State University - USA,University of Virginia - USA,University of Virginia - USA,,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/droh/www/drohcv.pdf,,,
Edmund M. Clarke,Carnegie Mellon University,1982,Full,Hardware & Architecture,University of Virginia - USA,Duke University - USA,Cornell University - USA,,http://www.cs.cmu.edu/~emc/bio.html,,,
Emma Brunskill,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,,,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://www.cs.cmu.edu/~ebrun/,,,
Eric Nyberg,Carnegie Mellon University,,Full,Natural Language & Speech,,,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~ehn/,,,
