Name;ReleaseDate;Action;Adventure;Children;Comedy;Crime;Documentary;Drama;Fantasy;Noir;Horror;Musical;Mystery;Romance;SciFi;Thriller;War;Western;AvgRating;Watches
Get Shorty;1995;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.62;1356
Copycat;1995;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3.35;378
Assassins;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.86;126
Powder;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3.18;624
Leaving Las Vegas;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.65;980
Othello;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.53;100
Now and Then;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.93;61
Persuasion;1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4.06;179
The City of Lost Children;1995;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.06;403
Shanghai Triad (Yao a yao yao dao waipo qiao);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.65;74
Dangerous Minds;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.11;141
Twelve Monkeys;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3.95;1511
Wings of Courage;1995;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;4
Babe;1995;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.89;1751
Carrington;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.31;70
Dead Man Walking;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.96;928
Across the Sea of Time;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5;8
It Takes Two;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.82;28
Clueless;1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.62;1362
Cry, the Beloved Country;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.93;30
Richard III;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.96;242
Dead Presidents;1995;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2.87;221
Restoration;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.45;166
Mortal Kombat;1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.79;311
To Die For;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.42;544
How to Make an American Quilt;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.11;166
Seven (Se7en);1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4.11;1137
Pocahontas;1995;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2.98;382
When Night Is Falling;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.74;27
The Usual Suspects;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4.52;1783
Guardian Angel;1994;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.5801;0
Mighty Aphrodite;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.64;431
Lamerica;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.75;8
The Big Green;1995;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.56;41
Georgia;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.07;45
Kids of the Round Table;1995;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;9
Home for the Holidays;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.4;99
Postino, Il (The Postman);1994;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.09;501
The Confessional (Le Confessionnal);1995;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2.75;8
The Indian in the Cupboard;1995;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.21;357
Eye for an Eye;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;67
Mr. Holland's Opus;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;541
Don't Be a Menace to South Central While Drinking Your Juice in the Hood;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86;111
Two if by Sea;1996;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.27;79
Bio-Dome;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.06;143
Lawnmower Man 2: Beyond Cyberspace;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1.67;97
Two Bits;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.25;4
French Twist (Gazon maudit);1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.45;60
Friday;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.66;319
From Dusk Till Dawn;1996;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;3.16;914
Fair Game;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1;96
Kicking and Screaming;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.63;93
Les Miserables;1995;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3.82;224
Bed of Roses;1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.98;120
Big Bully;1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1.92;12
Screamers;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.85;178
Nico Icon;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.76;34
The Crossing Guard;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.26;50
The Juror;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.61;114
The White Balloon (Badkonake Sefid );1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.83;52
Things to Do in Denver when You're Dead;1995;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;3.16;166
Antonia's Line (Antonia);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.88;89
Once Upon a Time... When We Were Colored;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;33
Last Summer in the Hamptons;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.1;21
Angels and Insects;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.4;194
White Squall;1996;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.39;236
Dunston Checks In;1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.21;76
Black Sheep;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.94;192
Nick of Time;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.07;229
The Journey of August King;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.67;6
Mary Reilly;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.34;88
Vampire in Brooklyn;1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.24;89
Beautiful Girls;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.73;182
Broken Arrow;1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.88;638
In the Bleak Midwinter;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.92;13
Hate (Haine, La);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.75;44
Shopping;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;6
Heidi Fleiss: Hollywood Madam;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.46;50
City Hall;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.06;128
Bottle Rocket;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.87;253
Mr. Wrong;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.82;60
Unforgettable;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.21;33
Happy Gilmore;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.53;682
The Bridges of Madison County;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.23;387
Nobody Loves Me (Keiner liebt mich);1994;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.58;12
Muppet Treasure Island;1996;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.15;256
Catwalk;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.86;7
Headless Body in Topless Bar;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Braveheart;1995;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.23;2443
Taxi Driver;1976;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4.18;1240
Rumble in the Bronx;1995;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.44;570
Before and After;1996;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2.98;53
Margaret's Museum;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.09;11
Happiness Is in the Field;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Anne Frank Remembered;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.1;41
The Young Poisoner's Handbook;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.63;79
If Lucy Fell;1996;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.07;68
Steal Big, Steal Little;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.46;13
Race the Sun;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.67;3
The Boys of St. Vincent;1993;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.05;37
Boomerang;1992;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.77;194
Chungking Express;1994;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;3.87;115
The Star Maker (Uomo delle stelle, L');1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.21;14
Flirting With Disaster;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.83;318
The NeverEnding Story III;1994;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.99;99
The Silence of the Palace (Saimt el Qusur);1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
Jupiter's Wife;1994;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.33;12
Pie in the Sky;1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.31;13
Angela;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;2
Frankie Starlight;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.06;16
Jade;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.49;91
Nueba Yol;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
Sonic Outlaws;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;2
Down Periscope;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.81;133
From the Journals of Jean Seberg;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.25;8
Man of the Year;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;13
The Neon Bible;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.5;2
Target;1995;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1
Up Close and Personal;1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.17;139
The Birdcage;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.55;682
Shadows (Cienie);1988;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
Gospa;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
The Brothers McMullen;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.39;433
Bad Boys;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3;362
The Amazing Panda Adventure;1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;18
The Basketball Diaries;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.54;181
Awfully Big Adventure, An;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.78;23
Amateur;1994;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3.79;47
Apollo 13;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.07;1251
Rob Roy;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;3.59;554
The Addiction;1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;69
Batman Forever;1995;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2.64;777
Belle de jour;1967;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.73;168
Beyond Rangoon;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.41;87
Blue in the Face;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.56;66
Canadian Bacon;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2.73;187
Casper;1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.98;259
Clockers;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.28;116
Congo;1995;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2.24;565
Crimson Tide;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3.72;760
Crumb;1994;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.06;491
Desperado;1995;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;3.46;540
Devil in a Blue Dress;1995;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;3.57;379
Die Hard: With a Vengeance;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.56;825
The Doom Generation;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2.46;61
Feast of July;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.6;5
First Knight;1995;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.95;362
Free Willy 2: The Adventure Home;1995;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.02;113
Hackers;1995;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3.15;321
Jeffrey;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.57;93
Johnny Mnemonic;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.58;458
Judge Dredd;1995;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2.31;564
Jury Duty;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.31;81
Kids;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.48;220
Living in Oblivion;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.92;205
Lord of Illusions;1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.73;139
Love & Human Remains;1993;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.47;19
Mad Love;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.21;48
Mallrats;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.55;451
Mighty Morphin Power Rangers: The Movie;1995;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.61;93
Moonlight and Valentino;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.14;49
Mute Witness;1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.48;29
Nadja;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.35;26
The Net;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.87;569
Nine Months;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.76;211
Party Girl;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.24;105
The Prophecy;1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3.22;190
Reckless;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;15
Safe;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.75;100
The Scarlet Letter;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.47;75
The Show;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2
Showgirls;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.05;217
Smoke;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.76;213
Something to Talk About;1995;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;2.84;164
Species;1995;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.82;550
The Stars Fell on Henrietta;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.06;17
Strange Days;1995;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3.3;605
The Umbrellas of Cherbourg (Parapluies de Cherbourg, Les);1964;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3.81;117
The Tie That Binds;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.42;12
Three Wishes;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.64;33
Total Eclipse;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.5;30
To Wong Foo, Thanks for Everything! Julie Newmar;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.05;203
Under Siege 2: Dark Territory;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.92;203
Unstrung Heroes;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.61;85
Unzipped;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.67;82
Walk in the Clouds, A;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.13;219
Waterworld;1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.63;651
White Man's Burden;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.46;52
Wild Bill;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.15;41
The Browning Version;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.56;34
Bushwhacked;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.93;14
Burnt By the Sun (Utomlyonnye solntsem);1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.06;123
Before the Rain (Pred dozhdot);1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.25;28
Before Sunrise;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.81;160
Billy Madison;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.18;355
The Babysitter;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.63;64
Boys on the Side;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.13;195
The Cure;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.18;22
Castle Freak;1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.82;28
Circle of Friends;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.55;329
Clerks;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.95;1412
Don Juan DeMarco;1995;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3.39;386
Disclosure;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.17;254
Dream Man;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1
Drop Zone;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.67;129
Destiny Turns on the Radio;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.15;13
Death and the Maiden;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.5;108
Dolores Claiborne;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.45;349
Dumb & Dumber;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.19;660
Eat Drink Man Woman;1994;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4.08;346
Exotica;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.61;235
Exit to Eden;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.22;147
Ed Wood;1994;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;927
French Kiss;1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.3;326
Forget Paris;1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.97;257
Far From Home: The Adventures of Yellow Dog;1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.81;32
Goofy Movie, A;1995;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.88;168
Hideaway;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.71;45
Fluke;1995;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.31;29
Farinelli: il castrato;1994;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3.5;80
Gordy;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1;10
Gumby: The Movie;1995;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9;10
The Glass Shield;1994;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;11
Hoop Dreams;1994;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.19;716
Heavenly Creatures;1994;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;3.87;477
Houseguest;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.91;138
Immortal Beloved;1994;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.76;261
Heavyweights;1994;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;30
The Hunted;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.28;18
I.Q.;1994;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.27;367
Interview with the Vampire;1994;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3.52;738
Jefferson in Paris;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.08;38
The Jerky Boys;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.06;66
Junior;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2.65;218
Just Cause;1995;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3.23;114
Kid in King Arthur's Court, A;1995;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;2.42;144
Kiss of Death;1995;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;2.84;102
Star Wars: Episode IV - A New Hope;1977;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4.45;2991
Little Women;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.65;285
Little Princess, A;1995;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.87;172
Ladybird Ladybird;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.86;28
Enfer, L';1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.2;5
Like Water for Chocolate (Como agua para chocolate);1992;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.93;772
Legends of the Fall;1994;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;3.43;705
Major Payne;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.73;140
Little Odessa;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.37;54
