date,session,number,bill,question,result,description,yeatotal,naytotal 
2011-04-06,1,57,S. 493,On the Amendment S.Amdt. 273,Agreed to,Coburn Amdt. No. 273; To save at least $5 billion by consolidating some duplicative and overlapping government programs.,64,36 
2011-04-12,1,58,PN29,On the Nomination,Confirmed,"Confirmation John A. Kronstadt, of California, to be United States District Judge",96,0 
2011-04-14,1,59,H.Con.Res. 35,On the Concurrent Resolution,Rejected,H. Con. Res. 35; A concurrent resolution directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.,47,53 
2011-04-14,1,60,H.Con.Res. 36,On the Concurrent Resolution,Rejected,H. Con. Res. 36; A concurrent resolution directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.,42,58 
2011-04-14,1,61,H.R. 1473,On Passage of the Bill,Passed,"H.R. 1473; A bill making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.",81,19 
2011-05-02,1,62,PN38,On the Nomination,Confirmed,"Confirmation Kevin Hunter Sharp, of Tennessee, to be United States District Judge",89,0 
2011-05-03,1,63,S.Res. 159,On the Resolution,Agreed to,"S. Res. 159; A resolution honoring the members of the military and intelligence community who carried out the mission that killed Osama bin Laden, and for other purposes.",97,0 
2011-05-04,1,64,S. 493,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on S. 493; A bill to reauthorize and improve the SBIR and STTR programs, and for other purposes.",52,44 
2011-05-04,1,65,PN32,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of John J. McConnell, Jr. of Rhode Island to be U.S. District Judge",63,33 
2011-05-04,1,66,PN32,On the Nomination,Confirmed,"Confirmation John J. McConnell, Jr. of Rhode Island, to be U.S. District Judge",50,44 
2011-05-09,1,67,PN49,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Nomination of James Michael Cole, of the District of Columbia, to be Deputy Attorney General",50,40 
2011-05-10,1,68,PN16,On the Nomination,Confirmed,"Confirmation Edward Milton Chen, of California, to be U.S. District Judge for the Northern District of California",56,42 
2011-05-11,1,69,PN9,On the Nomination,Confirmed,"Confirmation Arenda L. Wright Allen, of Virginia, to be United States District Judge",96,0 
2011-05-12,1,70,PN41,On the Nomination,Confirmed,"Confirmation Michael Francis Urbanski, of Virginia, to be U.S. District Judge for the Western District of Virginia",94,0 
2011-05-17,1,71,PN8,On the Nomination,Confirmed,"Confirmation Susan L. Carney, of Connecticut, to be U.S. Circuit Judge",71,28 
2011-05-17,1,72,S. 940,On the Motion to Proceed,Rejected,"Motion to Proceed to the Consideration of S. 940; A bill to reduce the Federal budget deficit by closing big oil tax loopholes, and for other purposes.",52,48 
2011-05-18,1,73,S. 953,On the Motion to Proceed,Rejected,"Motion to Proceed to the Consideration of S. 953; A bill to authorize the conduct of certain lease sales in the Outer Continental Shelf, to amend the Outer Continental Shelf Lands Act to modify the requirements for exploration, and for other purposes.",42,57 
2011-05-19,1,74,PN3,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Nomination of Goodwin Liu, of California, to be U.S. Circuit Judge for the Ninth Circuit",52,43 
2011-05-23,1,75,S. 1038,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to Consider S. 1038; A bill to extend the expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and the Intelligence Reform and Terrorism Prevention Act of 2004 until June 1, 2015, and for other purposes.",74,8 
2011-05-24,1,76,S. 1038,On the Motion to Table,Agreed to,"Motion to Table the Motion to Proceed to S. 1038; A bill to extend the expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and the Intelligence Reform and Terrorism Prevention Act of 2004 until June 1, 2015, and for other purposes.",74,13 
2011-05-25,1,77,H.Con.Res. 34,On the Motion to Proceed,Rejected,Motion to Proceed to Consider H. Con. Res. 34; A concurrent resolution establishing the budget for the United States Government for fiscal year 2012 and setting forth appropriate budgetary levels for fiscal years 2013 through 2021.,40,57 
2011-05-25,1,78,S.Con.Res. 18,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S. Con. Res. 18; A concurrent resolution setting forth the President's budget request for the United States Government for fiscal year 2012, and setting forth the appropriate budgetary levels for fiscal years 2013 through 2021.",0,97 
2011-05-25,1,79,S.Con.Res. 21,On the Motion to Proceed,Rejected,Motion to Proceed to Consider S. Con. Res. 21; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2012 and setting forth the appropriate budgetary levels for fiscal years 2013 through 2021.,42,55 
2011-05-25,1,80,S.Con.Res. 20,On the Motion to Proceed,Rejected,Motion to Proceed to Consider S. Con. Res. 20; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2012 and setting forth the appropriate budgetary levels for fiscal years 2013 through 2016.,7,90 
2011-05-26,1,81,S. 990,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Concur in the House Amendment to S. 990 with Amdt. No. 347; A bill to provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes.",79,18 
2011-05-26,1,82,S. 990,On the Motion to Table S.Amdt. 363,Agreed to,Motion to Table Paul Amdt. No. 363; To clarify that the authority to obtain information under the USA PATRIOT Act and subsequent reauthorizations does not include authority to obtain certain firearms records.,85,10 
2011-05-26,1,83,S. 990,On the Motion to Table S.Amdt. 365,Agreed to,"Motion to Table Paul Amdt. No. 365; To limit suspicious activity reporting requirements to requests from law enforcement agencies, and for other purposes.",91,4 
2011-05-26,1,84,S. 990,On the Motion,Agreed to,"Motion to Concur in the House Amendment to S. 990 with Amdt. No. 347; A bill to provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes.",72,23 
2011-06-06,1,85,PN97,On the Nomination,Confirmed,"Confirmation Donald B. Verrilli, Jr. to be Solicitor General of the U.S.",72,16 
2011-06-08,1,86,S. 782,On the Amendment S.Amdt. 392,Rejected,"Tester Amdt. No. 392; To improve the regulatory structure for electronic debit card transactions, and for other purposes.",54,45 
2011-06-09,1,87,S. 782,On the Amendment S.Amdt. 390,Rejected,"Snowe Amdt. No. 390; To reform the regulatory process to ensure that small businesses are free to compete and to create jobs, and for other purposes.",53,46 
2011-06-14,1,88,PN15,On the Nomination,Confirmed,"Confirmation Claire C. Cecchi, of New Jersey, to be U.S. District Judge",98,0 
2011-06-14,1,89,S. 782,On the Cloture Motion S.Amdt. 436,Rejected,Motion to Invoke Cloture on the Coburn Amdt. No. 436; To repeal the Volumetric Ethanol Excise Tax Credit.,40,59 
2011-06-16,1,90,S. 782,On the Amendment S.Amdt. 476,Agreed to,Feinstein Amdt. No. 476 As Modified; To repeal the Volumetric Ethanol Excise Tax Credit.,73,27 
2011-06-16,1,91,S. 782,On the Amendment S.Amdt. 411,Rejected,McCain Amdt. 411; To prohibit the use of Federal funds to construct ethanol blender pumps or ethanol storage facilities.,41,59 
2011-06-21,1,92,PN39,On the Nomination,Confirmed,"Confirmation Michael H. Simon, of Oregon, to be U.S. District Judge",64,35 
2011-06-21,1,93,PN598,On the Nomination,Confirmed,"Confirmation Leon E. Panetta, of California, to be Secretary of Defense",100,0 
2011-06-21,1,94,S. 782,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on S. 782; A bill to amend the Public Works and Economic Development Act of 1965 to reauthorize that Act, and for other purposes.",49,51 
2011-06-23,1,95,S. 679,On the Amendment S.Amdt. 499,Rejected,Vitter Amdt. No. 499; To end the appointments of presidential Czars who have not been subject to the advice and consent of the Senate and to prohibit funds for any salaries and expenses for appointed Czars.,47,51 
2011-06-23,1,96,S. 679,On the Amendment S.Amdt. 510,Rejected,"DeMint Amdt. No. 510; To strike the provision relating to the Director, Bureau of Justice Statistics.",41,57 
2011-06-28,1,97,PN49,On the Nomination,Confirmed,"Confirmation James Michael Cole, of the District of Columbia, to be Deputy Attorney General",55,42 
2011-06-28,1,98,S. 679,On the Motion,Agreed to,Motion to Instruct the Sgt At Arms to Request the Presence of Absentee Senators; A bill to reduce the number of executive positions subject to Senate confirmation.,44,40 
2011-06-29,1,99,S. 679,On the Amendment S.Amdt. 501,Rejected,"DeMint Amdt. No. 501; To repeal the authority to provide certain loans to the International Monetary Fund, the increase in the United States quota to the Fund, and certain other related authorities, and to rescind related appropriated amounts.",44,55 
2011-06-29,1,100,S. 679,On the Amendment S.Amdt. 511,Rejected,DeMint Amdt. No. 511; To enhance accountability and transparency among various Executive agencies.,25,74 
2011-06-29,1,101,S. 679,On Passage of the Bill,Passed,S. 679 as Amended; A bill to reduce the number of executive positions subject to Senate confirmation.,79,20 
2011-06-29,1,102,S.Res. 116,On the Amendment S.Amdt. 521,Rejected,Coburn Amdt. No. 521; To prevent the creation of duplicative and overlapping Federal programs.,63,34 
2011-06-29,1,103,S.Res. 116,On the Resolution,Agreed to,S. Res. 116 as Amended; A resolution to provide for expedited Senate consideration of certain nominations subject to advice and consent.,89,8 
2011-06-30,1,104,PN604,On the Nomination,Confirmed,"Confirmation David H. Petraeus, of New Hampshire, to be Director of the Central Intelligence Agency",94,0 
2011-07-05,1,105,S. 1323,On the Motion,Agreed to,Motion to Instruct the Sergeant at Arms to Request Absent Senators; A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,83,8 
2011-07-07,1,106,S. 1323,On Cloture on the Motion to Proceed,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to Consider S. 1323; A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,74,22 
2011-07-11,1,107,S. 1323,On the Motion to Proceed,Agreed to,Motion to Proceed to Consider S. 1323; A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,69,27 
2011-07-13,1,108,S. 1323,On the Cloture Motion,Rejected,Motion to Invoke Cloture on S. 1323; A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,51,49 
2011-07-13,1,109,H.R. 2055,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to H.R. 2055; A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes.",89,11 
2011-07-14,1,110,H.R. 2055,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Waive Section 303 of the Congressional Budget Act on H.R. 2055; A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes.",71,26 
2011-07-14,1,111,H.R. 2055,On the Motion,Agreed to,"Motion to Waive Section 303 of the Congressional Budget Act on H.R. 2055, any amendments thereto and motions thereon; A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes.",56,40 
2011-07-18,1,112,PN93,On the Nomination,Confirmed,"Confirmation J. Paul Oetken, of New York, to be U.S. District Judge for the Southern District of New York",80,13 
2011-07-20,1,113,H.R. 2055,On the Motion to Table S.Amdt. 568,Agreed to,Motion to Table Vitter Amdt. No. 568; To provide that none of the funds appropriated or otherwise made available by this Act may be obligated or expended at a rate higher than the level of the Senate and House of Representative concurrent budget resolution for fiscal year 2012.,69,30 
2011-07-20,1,114,H.R. 2055,On the Motion to Table S.Amdt. 564,Agreed to,Motion to Table Coburn Amdt. No. 564; To require evidence of causal relationships for presumptions by the Secretary of Veterans Affairs of service connection for diseases associated with exposure to certain herbicide agents.,69,30 
2011-07-20,1,115,H.R. 2055,On Passage of the Bill,Passed,"H.R. 2055 as Amended; A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes.",97,2 
2011-07-22,1,116,H.R. 2560,On the Motion to Table,Agreed to,"Motion to Table the Motion to Proceed to Consider H.R. 2560; A bill to cut, cap, and balance the Federal budget.",51,46 
2011-07-26,1,117,PN157,On the Nomination,Confirmed,"Confirmation Paul A. Engelmayer of New York, to be United States District Judge",98,0 
2011-07-27,1,118,PN847,On the Nomination,Confirmed,"Confirmation Robert S. Mueller, III, of California, to be Director of the Federal Bureau of Investigation",100,0 
2011-07-29,1,119,S. 1323,On the Motion,Agreed to,Motion to Instruct the Sergeant at Arms to Request Absent Senators; A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,76,23 
2011-07-29,1,120,S. 627,On the Motion to Table,Agreed to,Motion to Table the Motion to Concur in the House Amendment to S. 627; A bill to establish the Commission on Freedom of Information Act Processing Delays.,59,41 
2011-07-30,1,121,S. 627,On the Motion,Agreed to,Motion to Instruct the Sgt. At Arms to Request Absent Senators; A bill to establish the Commission on Freedom of Information Act Processing Delays.,75,20 
2011-07-31,1,122,S. 627,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Motion to Concur in the House Amendment to S. 627, with Amdt. No. 589; A bill to establish the Commission on Freedom of Information Act Processing Delays.",50,49 
2011-08-02,1,123,S. 365,On the Motion,Agreed to,Motion to Concur in the House Amendment to S. 365; An act to provide for budget control.,74,26 
2011-09-06,1,124,PN7,On the Nomination,Confirmed,"Confirmation Bernice Bouie Donald, of Tennessee, to be U.S. Circuit Judge for the Sixth Circuit",96,2 
2011-09-06,1,125,H.R. 1249,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to H.R. 1249; A bill to amend title 35, United States Code, to provide for patent reform.",93,5 
2011-09-08,1,126,H.R. 1249,On the Amendment S.Amdt. 600,Rejected,Sessions Amdt. No. 600; To strike the provision relating to the calculation of the 60-day period for application of patent term extension.,47,51 
2011-09-08,1,127,H.R. 1249,On the Amendment S.Amdt. 595,Rejected,Cantwell Amdt. No. 595; To establish a transitional program for covered business method patents.,13,85 
2011-09-08,1,128,H.R. 1249,On the Motion to Table S.Amdt. 599,Agreed to,"Motion to Table Coburn Amdt. No. 599 as Modified; To amend the provision relating to funding the Patent and Trademark Office by establishing a United States Patent and Trademark Office Public Enterprise Fund, and for other purposes.",50,48 
2011-09-08,1,129,H.R. 1249,On Passage of the Bill,Passed,"H.R. 1249; A bill to amend title 35, United States Code, to provide for patent reform.",89,9 
2011-09-08,1,130,S.J.Res. 25,On the Motion to Proceed,Rejected,"Motion to Proceed to the Consideration of S.J.Res. 25; A joint resolution relating to the disapproval of the President's exercise of authority to increase the debt limit, as submitted under section 3101A of title 31, United States Code, on August 2, 2011.",45,52 
2011-09-12,1,131,H.J.Res. 66,On the Cloture Motion,Rejected,Motion to Invoke Cloture on the Motion to Proceed to Consider H. J. Res. 66; A joint resolution approving the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003.,53,33 
2011-09-13,1,132,H.J.Res. 66,On Cloture on the Motion to Proceed,Agreed to,Upon Reconsideration Cloture on the Motion to Proceed to Consider H.J.Res. 66; A joint resolution approving the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003.,61,38 
2011-09-15,1,133,H.J.Res. 66,On the Amendment S.Amdt. 610,Rejected,"Coburn Amdt. No. 610; To save at least $7,000,000,000 by consolidating some duplicative and overlapping Government programs.",54,45 
2011-09-15,1,134,H.J.Res. 66,On the Amendment S.Amdt. 613,Rejected,Paul Amdt. No. 613; To offset the disaster relief appropriations by rescinding amounts for foreign assistance programs.,20,78 
2011-09-15,1,135,H.J.Res. 66,On the Amendment S.Amdt. 602,Agreed to,Reid Amdt. No. 602; In the nature of a substitute.,62,37 
2011-09-15,1,136,H.R. 2887,On the Amendment S.Amdt. 621,Rejected,Paul Amdt. No. 621; To limit the amount authorized to be expended from the Highway Trust Fund in any fiscal year to the amount anticipated to be deposited into the Highway Trust Fund in that fiscal year.,14,84 
2011-09-15,1,137,H.R. 2887,On the Amendment S.Amdt. 622,Rejected,Paul Amdt. No. 622; To decrease the authorizations of appropriations for the Federal Aviation Administration to fiscal year 2008 levels.,36,61 
2011-09-15,1,138,H.R. 2887,On Passage of the Bill,Passed,"H.R. 2887; A bill to provide an extension of surface and air transportation programs, and for other purposes.",92,6 
2011-09-19,1,139,H.R. 2832,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to Consider H.R. 2832; A bill to extend the Generalized System of Preferences, and for other purposes.",84,8 
2011-09-20,1,140,PN260,On the Nomination,Confirmed,"Confirmation Timothy M. Cain, of South Carolina, to be U.S. District Judge for the District of South Carolina",99,0 
2011-09-20,1,141,H.R. 2832,On the Amendment S.Amdt. 626,Rejected,McConnell Amdt. No. 626 as Modified; To provide trade promotion authority for the Trans-Pacific Partnership Agreement and for other trade agreements.,45,55 
2011-09-21,1,142,H.R. 2832,On the Amendment S.Amdt. 641,Rejected,"Hatch Amdt. No. 641; To make the effective date of the amendments expanding the trade adjustment assistance program contingent on the enactment of the United States-Korea Free Trade Agreement Implementation Act, the United States-Columbia Trade Promotion Agreement Implementation Act, and the United States-Panama Trade Promotion Agreement Implementation Act.",44,54 
2011-09-21,1,143,H.R. 2832,On the Amendment S.Amdt. 625,Rejected,McCain Amdt. No. 625; To extend the trade adjustment assistance as in effect before the enactment of the Trade and Globalization Adjustment Assistance of 2009.,46,53 
2011-09-21,1,144,H.R. 2832,On the Amendment S.Amdt. 642,Rejected,Hatch Amdt. No. 642; To modify the eligibility requirements for trade adjustment assistance.,40,57 
2011-09-21,1,145,H.R. 2832,On the Amendment S.Amdt. 645,Rejected,Kyl Amdt. No. 645; To repeal trade adjustment assistance for firms.,43,54 
