id,year,category,overallMotivation,laureate_id,motivation,share
703,1931,Chemistry,,190,&quot;in recognition of their contributions to the invention and development of chemical high pressure methods&quot;,2
709,1930,Chemistry,,188,&quot;for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin&quot;,1
714,1929,Chemistry,,186,&quot;for their investigations on the fermentation of sugar and fermentative enzymes&quot;,2
715,1929,Chemistry,,187,&quot;for their investigations on the fermentation of sugar and fermentative enzymes&quot;,2
721,1928,Chemistry,,185,&quot;for the services rendered through his research into the constitution of the sterols and their connection with the vitamins&quot;,1
726,1927,Chemistry,,184,&quot;for his investigations of the constitution of the bile acids and related substances&quot;,1
732,1926,Chemistry,,183,&quot;for his work on disperse systems&quot;,1
739,1925,Chemistry,,182,&quot;for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry&quot;,1
747,1923,Chemistry,,181,&quot;for his invention of the method of micro-analysis of organic substances&quot;,1
752,1922,Chemistry,,180,&quot;for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule&quot;,1
758,1921,Chemistry,,179,&quot;for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes&quot;,1
763,1920,Chemistry,,178,&quot;in recognition of his work in thermochemistry&quot;,1
772,1918,Chemistry,,177,&quot;for the synthesis of ammonia from its elements&quot;,1
780,1915,Chemistry,,176,&quot;for his researches on plant pigments, especially chlorophyll&quot;,1
783,1914,Chemistry,,175,&quot;in recognition of his accurate determinations of the atomic weight of a large number of chemical elements&quot;,1
786,1913,Chemistry,,174,&quot;in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry&quot;,1
791,1912,Chemistry,,172,&quot;for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry&quot;,2
792,1912,Chemistry,,173,&quot;for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years&quot;,2
797,1911,Chemistry,,6,&quot;in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element&quot;,1
803,1910,Chemistry,,169,&quot;in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds&quot;,1
809,1909,Chemistry,,168,&quot;in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction&quot;,1
815,1908,Chemistry,,167,&quot;for his investigations into the disintegration of the elements, and the chemistry of radioactive substances&quot;,1
822,1907,Chemistry,,166,&quot;for his biochemical researches and his discovery of cell-free fermentation&quot;,1
828,1906,Chemistry,,165,&quot;in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him&quot;,1
834,1905,Chemistry,,164,&quot;in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds&quot;,1
839,1904,Chemistry,,163,&quot;in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system&quot;,1
847,1903,Chemistry,,162,&quot;in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation&quot;,1
853,1902,Chemistry,,161,&quot;in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses&quot;,1
859,1901,Chemistry,,160,&quot;in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions&quot;,1
9,2012,Economics,,882,&quot;for the theory of stable allocations and the practice of market design&quot;,2
10,2012,Economics,,883,&quot;for the theory of stable allocations and the practice of market design&quot;,2
22,2011,Economics,,872,&quot;for their empirical research on cause and effect in the macroeconomy&quot;,2
23,2011,Economics,,873,&quot;for their empirical research on cause and effect in the macroeconomy&quot;,2
32,2010,Economics,,856,&quot;for their analysis of markets with search frictions&quot;,3
33,2010,Economics,,857,&quot;for their analysis of markets with search frictions&quot;,3
34,2010,Economics,,858,&quot;for their analysis of markets with search frictions&quot;,3
46,2009,Economics,,846,&quot;for her analysis of economic governance, especially the commons&quot;,2
47,2009,Economics,,847,&quot;for his analysis of economic governance, especially the boundaries of the firm&quot;,2
59,2008,Economics,,834,&quot;for his analysis of trade patterns and location of economic activity&quot;,1
69,2007,Economics,,820,&quot;for having laid the foundations of mechanism design theory&quot;,3
70,2007,Economics,,821,&quot;for having laid the foundations of mechanism design theory&quot;,3
71,2007,Economics,,822,&quot;for having laid the foundations of mechanism design theory&quot;,3
80,2006,Economics,,807,&quot;for his analysis of intertemporal tradeoffs in macroeconomic policy&quot;,1
92,2005,Economics,,799,&quot;for having enhanced our understanding of conflict and cooperation through game-theory analysis&quot;,2
93,2005,Economics,,800,&quot;for having enhanced our understanding of conflict and cooperation through game-theory analysis&quot;,2
104,2004,Economics,,786,&quot;for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles&quot;,2
105,2004,Economics,,787,&quot;for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles&quot;,2
115,2003,Economics,,771,&quot;for methods of analyzing economic time series with time-varying volatility (ARCH)&quot;,2
116,2003,Economics,,772,&quot;for methods of analyzing economic time series with common trends (cointegration)&quot;,2
128,2002,Economics,,759,&quot;for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty&quot;,2
129,2002,Economics,,760,&quot;for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms&quot;,2
142,2001,Economics,,744,&quot;for their analyses of markets with asymmetric information&quot;,3
143,2001,Economics,,745,&quot;for their analyses of markets with asymmetric information&quot;,3
144,2001,Economics,,746,&quot;for their analyses of markets with asymmetric information&quot;,3
156,2000,Economics,,732,&quot;for his development of theory and methods for analyzing selective samples&quot;,2
157,2000,Economics,,733,&quot;for his development of theory and methods for analyzing discrete choice&quot;,2
164,1999,Economics,,720,&quot;for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas&quot;,1
176,1998,Economics,,719,&quot;for his contributions to welfare economics&quot;,1
187,1997,Economics,,717,&quot;for a new method to determine the value of derivatives&quot;,2
188,1997,Economics,,718,&quot;for a new method to determine the value of derivatives&quot;,2
200,1996,Economics,,715,&quot;for their fundamental contributions to the economic theory of incentives under asymmetric information&quot;,2
201,1996,Economics,,716,&quot;for their fundamental contributions to the economic theory of incentives under asymmetric information&quot;,2
213,1995,Economics,,714,&quot;for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy&quot;,1
223,1994,Economics,,711,&quot;for their pioneering analysis of equilibria in the theory of non-cooperative games&quot;,3
224,1994,Economics,,712,&quot;for their pioneering analysis of equilibria in the theory of non-cooperative games&quot;,3
225,1994,Economics,,713,&quot;for their pioneering analysis of equilibria in the theory of non-cooperative games&quot;,3
235,1993,Economics,,709,&quot;for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change&quot;,2
236,1993,Economics,,710,&quot;for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change&quot;,2
243,1992,Economics,,708,&quot;for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour&quot;,1
250,1991,Economics,,707,&quot;for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy&quot;,1
259,1990,Economics,,704,&quot;for their pioneering work in the theory of financial economics&quot;,3
260,1990,Economics,,705,&quot;for their pioneering work in the theory of financial economics&quot;,3
261,1990,Economics,,706,&quot;for their pioneering work in the theory of financial economics&quot;,3
271,1989,Economics,,703,&quot;for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures&quot;,1
283,1988,Economics,,702,&quot;for his pioneering contributions to the theory of markets and efficient utilization of resources&quot;,1
292,1987,Economics,,701,&quot;for his contributions to the theory of economic growth&quot;,1
303,1986,Economics,,700,&quot;for his development of the contractual and constitutional bases for the theory of economic and political decision-making&quot;,1
311,1985,Economics,,699,&quot;for his pioneering analyses of saving and of financial markets&quot;,1
320,1984,Economics,,698,&quot;for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis&quot;,1
327,1983,Economics,,697,&quot;for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium&quot;,1
336,1982,Economics,,696,&quot;for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation&quot;,1
347,1981,Economics,,695,&quot;for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices&quot;,1
358,1980,Economics,,694,&quot;for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies&quot;,1
368,1979,Economics,,692,&quot;for their pioneering research into economic development research with particular consideration of the problems of developing countries&quot;,2
369,1979,Economics,,693,&quot;for their pioneering research into economic development research with particular consideration of the problems of developing countries&quot;,2
380,1978,Economics,,691,&quot;for his pioneering research into the decision-making process within economic organizations&quot;,1
390,1977,Economics,,689,&quot;for their pathbreaking contribution to the theory of international trade and international capital movements&quot;,2
391,1977,Economics,,690,&quot;for their pathbreaking contribution to the theory of international trade and international capital movements&quot;,2
400,1976,Economics,,688,&quot;for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy&quot;,1
411,1975,Economics,,686,&quot;for their contributions to the theory of optimum allocation of resources&quot;,2
412,1975,Economics,,687,&quot;for their contributions to the theory of optimum allocation of resources&quot;,2
423,1974,Economics,,684,&quot;for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena&quot;,2
424,1974,Economics,,685,&quot;for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena&quot;,2
436,1973,Economics,,683,&quot;for the development of the input-output method and for its application to important economic problems&quot;,1
446,1972,Economics,,681,&quot;for their pioneering contributions to general economic equilibrium theory and welfare theory&quot;,2
447,1972,Economics,,682,&quot;for their pioneering contributions to general economic equilibrium theory and welfare theory&quot;,2
453,1971,Economics,,680,&quot;for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development&quot;,1
462,1970,Economics,,679,&quot;for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science&quot;,1
471,1969,Economics,,677,&quot;for having developed and applied dynamic models for the analysis of economic processes&quot;,2
472,1969,Economics,,678,&quot;for having developed and applied dynamic models for the analysis of economic processes&quot;,2
7,2012,Literature,,880,&quot;who with hallucinatory realism merges folk tales, history and the contemporary&quot;,1
18,2011,Literature,,868,&quot;because, through his condensed, translucent images, he gives us fresh access to reality&quot;,1
30,2010,Literature,,854,&quot;for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat&quot;,1
44,2009,Literature,,844,&quot;who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed&quot;,1
57,2008,Literature,,832,&quot;author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization&quot;,1
66,2007,Literature,,817,&quot;that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny&quot;,1
77,2006,Literature,,808,&quot;who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures&quot;,1
89,2005,Literature,,801,&quot;who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms&quot;,1
102,2004,Literature,,782,&quot;for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power&quot;,1
113,2003,Literature,,763,&quot;who in innumerable guises portrays the surprising involvement of the outsider&quot;,1
126,2002,Literature,,761,&quot;for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history&quot;,1
139,2001,Literature,,747,&quot;for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories&quot;,1
154,2000,Literature,,734,&quot;for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama&quot;,1
162,1999,Literature,,676,&quot;whose frolicsome black fables portray the forgotten face of history&quot;,1
173,1998,Literature,,675,&quot;who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality&quot;,1
184,1997,Literature,,674,&quot;who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden&quot;,1
197,1996,Literature,,673,&quot;for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality&quot;,1
210,1995,Literature,,672,&quot;for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past&quot;,1
219,1994,Literature,,671,&quot;who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today&quot;,1
232,1993,Literature,,670,&quot;who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality&quot;,1
241,1992,Literature,,669,&quot;for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment&quot;,1
248,1991,Literature,,668,&quot;who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity&quot;,1
257,1990,Literature,,667,&quot;for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity&quot;,1
269,1989,Literature,,666,&quot;for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability&quot;,1
281,1988,Literature,,665,&quot;who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind&quot;,1
290,1987,Literature,,664,&quot;for an all-embracing authorship, imbued with clarity of thought and poetic intensity&quot;,1
301,1986,Literature,,663,&quot;who in a wide cultural perspective and with poetic overtones fashions the drama of existence&quot;,1
309,1985,Literature,,662,&quot;who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition&quot;,1
318,1984,Literature,,661,&quot;for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man&quot;,1
325,1983,Literature,,660,&quot;for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today&quot;,1
333,1982,Literature,,659,&quot;for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts&quot;,1
345,1981,Literature,,658,&quot;for writings marked by a broad outlook, a wealth of ideas and artistic power&quot;,1
356,1980,Literature,,657,&quot;who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts&quot;,1
