Movie Title,Passes Bechdel Test?,Number of Criteria Passed,Clarity of Pass,Has at least two [named] women in it,The women talk to each other,The women talk about something besides a man,Genre,Director,Main Actors,Production Company,Plot Keywords (top 10),Year,Rating,Runtime (min),Plot,Language,Country,Image,IMDb Popularity Score,Award Popularity,IMDb rating,IMDb votes,Nominations,Wins,IMDB Link
2 Days in New York (2012),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama, Romance",Julie Delpy,"Chris Rock, Julie Delpy, Albert Delpy, Alexia Landeau","Polaris Film Production & Finance, Tempête Sous un Crâne, Senator Film Produktion","photo exhibition, five word title, digit in title, masturbation, title directed by female, vernissage, father daughter relationship, real life father and daughter playing father and daughter, star cameo, cameo appearance",2012,Restricted,96,"Manhattan couple Marion and Mingus, who each have children from prior relationships, find their comfortable family dynamic jostled by a visit from Marion's relatives.","English, French, Italian","France, Germany, Belgium",http://ia.media-imdb.com/images/M/MV5BMjI5NTU2MDgyNl5BMl5BanBnXkFtZTcwNzk4NDI5Nw@@._V1_SX300.jpg,61836,1,6,"10,306",1,,http://www.imdb.com/title/tt1602472/
2 Guns (2013),No,1,,Pass,Fail,Fail,"Action, Comedy, Crime",Baltasar Kormákur,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos","Universal Studios, Emmett/Furla Films, Marc Platt Productions","money, undercover, fugitive, drug cartel, bank, on the run, undercover agent, dea agent, uh 1 huey helicopter, hanging upside down",2013,Restricted,109,"A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.","English, Spanish",United States,http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg,839338,10,6.8,"123,432",,2,http://www.imdb.com/title/tt1272878/
20 Feet from Stardom (2013),Yes,3,Clear,Pass,Pass,Pass,"Documentary, Music",Morgan Neville,"Lou Adler, Stephanie 'Stevvi' Alexander, Patti Austin, Chris Botti","Gil Friesen Productions, Tremolo Productions","singer, backup singer, interview, pop music, singing, reference to american idol, reference to whitney houston, reference to james brown, four word title, background singer",2013,"Parental guidance, Unsuitable for children under 13",91,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTQxNDY2NjMwNF5BMl5BanBnXkFtZTcwNzExMDg0OQ@@._V1_SX300.jpg,47708,102,7.4,"6,447",17,17,http://www.imdb.com/title/tt2396566/
21 & Over (2013),No,1,,Pass,Fail,Fail,Comedy,"Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright","Relativity Media, SkyLand Entertainment, Virgin Produced","21st birthday, college student, beer, police chase, falling on a car, male star appears nude, foot in toilet, paddled, blindfolded, bechdel test failed",2013,Restricted,93,"The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.",English,United States,http://ia.media-imdb.com/images/M/MV5BMjI0NTExOTI0N15BMl5BanBnXkFtZTcwMDA0ODE3OA@@._V1_SX300.jpg,280529,6,5.8,"48,367",1,1,http://www.imdb.com/title/tt1711425/
21 Jump Street (2012),No,2,,Pass,Pass,Fail,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco","Columbia Pictures, Metro-Goldwyn-Mayer (MGM), Relativity Media","remake, undercover cop, drug, police, parody, narcotics, high school, high school student, jock, geek",2012,Restricted,109,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX300.jpg,2234772,60,7.2,"310,385",20,8,http://www.imdb.com/title/tt1232829/
22 Jump St (2014),Yes,3,Clear,Pass,Pass,Pass,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","Columbia Pictures, Metro-Goldwyn-Mayer (MGM), LStar Capital","explosion, college, undercover, drugs, selling drugs, tattoo, cheering crowd, helicopter explosion, hanging by one arm, hanging from a helicopter",2014,Restricted,112,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg,954994,24,7.2,"132,638",9,3,http://www.imdb.com/title/tt2294449/
3 Days to Kill (2014),Yes,3,Clear,Pass,Pass,Pass,"Action, Drama, Thriller",McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen","3DTK, EuropaCorp, Feelgood Entertainment","spy, leather dress, estranged wife, cia, cia agent, estranged daughter, terrorist, experimental drug, teenage daughter, handcuffs",2014,"Parental guidance, Unsuitable for children under 13",117,A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,"English, French, German, Serbian","United States, France, Greece, Russia",http://ia.media-imdb.com/images/M/MV5BMzM0MjE0Nzg1N15BMl5BanBnXkFtZTgwODA4ODE4MDE@._V1_SX300.jpg,293062,,6.2,"47,268",,,http://www.imdb.com/title/tt2172934/
30 Days of Night: Dark Days (2010),Yes,3,Clear,Pass,Pass,Pass,"Horror, Thriller",Ben Ketai,"Kiele Sanchez, Rhys Coiro, Diora Baird, Harold Perrineau","Stage 6 Films, RCR Pictures, Ghost House Pictures","vampire, alaska, revenge, motel, fbi agent, ultraviolet light, grief, 2000s, idw publishing, title at the end",2010,Restricted,92,"After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTM0NDYxOTA3NF5BMl5BanBnXkFtZTcwNDY3OTY4Mw@@._V1_SX300.jpg,39622,10,4.4,"9,005",,2,http://www.imdb.com/title/tt1320304/
30 Minutes or Less (2011),No,1,,Pass,Fail,Fail,"Action, Comedy, Crime",Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson","Sony Pictures, Media Rights Capital, Red Hour Films","pizza delivery, heist, scheme, pizza delivery boy, woman in a bikini, pixilated nudity, man wearing a gorilla mask, duct tape gag, man wearing a chimpanzee mask, budweiser",2011,Restricted,83,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...","English, German, Spanish","Germany, Canada, United States",http://ia.media-imdb.com/images/M/MV5BMTM5NjM0ODY1NF5BMl5BanBnXkFtZTcwMjk5NjI0Ng@@._V1_SX300.jpg,429220,1,6.2,"69,229",1,,http://www.imdb.com/title/tt1622547/
300 Worte Deutsch (2013),Yes,3,Clear,Pass,Pass,Pass,Comedy,Züli Aladag,"Nadja Uhl, Christoph Maria Herbst, Christoph Letkowski, Pegah Ferydoni","Sperl Productions, Zweites Deutsches Fernsehen (ZDF)",,2013,,90,,German,Germany,,49,,4.9,10,,,http://www.imdb.com/title/tt2288044/
300: Rise of an Empire (2014),No,1,,Pass,Fail,Fail,"Action, Drama, Fantasy",Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson","Warner Bros., Legendary Pictures, Cruel & Unusual Films","army, sea, army base, commander, general, navy, hell hound, sea serpent, shot with an arrow, ship fire",2014,Restricted,102,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTEwNTU2MjAwMDdeQTJeQWpwZ15BbWU3MDk2Njc2Njk@._V1_SX300.jpg,995734,5,6.3,"158,053",5,,http://www.imdb.com/title/tt1253863/
4.3.2.1 (2010),Yes,3,Clear,Pass,Pass,Pass,"Crime, Thriller","Noel Clarke, Mark Davis","Ophelia Lovibond, Shanika Warren-Markland, Emma Roberts, Tamsin Egerton","Unstoppable Entertainment, Retro-juice Productions, Atlantic Swiss Productions","diamonds, white panties, panties, upskirt, sony, xbox 360 wireless controller, xbox 360 controller, xbox 360, manhattan new york city, can of pringles",2010,,117,"While Jo (Roberts) is chained down in a dead end supermarket job, her friends are all out on their own separate adventures: Cassandra (Egerton) is jetting off to New York to meet her ...",English,United Kingdom,http://ia.media-imdb.com/images/M/MV5BMjA5NDA4MjM5Ml5BMl5BanBnXkFtZTcwOTIwNTIzMw@@._V1_SX300.jpg,47578,,5.9,"8,064",,,http://www.imdb.com/title/tt1514041/
42 (2013),No,2,,Pass,Pass,Fail,"Biography, Drama, Sport",Brian Helgeland,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni","Warner Bros., Legendary Pictures","baseball, racism, major league baseball, baseball player, brooklyn dodgers, african american, bechdel test failed, hero, sports hero, minor league baseball",2013,"Parental guidance, Unsuitable for children under 13",128,The story of Jackie Robinson from his signing with the Brooklyn Dodgers organization in 1945 to his historic 1947 rookie season when he broke the color barrier in Major League Baseball.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,412444,36,7.6,"54,269",16,4,http://www.imdb.com/title/tt0453562/
47 Ronin (2013),No,2,,Pass,Pass,Fail,"Action, Adventure, Fantasy",Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano","H2F Entertainment, Mid Atlantic Films, Moving Pictures","shogun, samurai, half breed, death, tournament, forest, revenge, ronin, slave, imprisonment",2013,"Parental guidance, Unsuitable for children under 13",118,A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,"English, Japanese",United States,http://ia.media-imdb.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg,561910,5,6.3,"89,192",5,,http://www.imdb.com/title/tt1335975/
50/50 (2011),No,2,,Pass,Pass,Fail,"Comedy, Drama",Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard","Summit Entertainment, Mandate Pictures, Point Grey Pictures","female nudity, cancer, best friend, patient, therapist, doctor, spinal cancer, chemotherapy, driver's license, painter",2011,Restricted,100,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",English,United States,http://ia.media-imdb.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_SX300.jpg,1813695,81,7.8,"232,525",16,13,http://www.imdb.com/title/tt1306980/
52 Tuesdays (2013),Yes,3,Clear,Pass,Pass,Pass,"Drama, Family",Sophie Hyde,"Tilda Cobham-Hervey, Del Herbert-Jane, Mario Späte, Beau Travis Williams",Closer Productions,"gender transition, gender, 16 year old, father daughter relationship, coming of age, australia, mother daughter relationship, family relationships, sex change, teenage girl",2013,,109,16 year old Billie's reluctant path to independence is accelerated when her mother reveals plans to gender transition and their time together becomes limited to Tuesday afternoons.,English,Australia,http://ia.media-imdb.com/images/M/MV5BMTk4NTcxNjY4Ml5BMl5BanBnXkFtZTgwNTIyMzI3MTE@._V1_SX300.jpg,1787,34,6.9,259,4,6,http://www.imdb.com/title/tt3100636/
71 (2014),No,0,,Fail,Fail,Fail,"Action, Drama, Thriller",Yann Demange,"Jack O'Connell, Paul Anderson, Sean Harris, Sam Reid","Crab Apple Films, Protagonist Pictures, Warp Films","british soldier, year 1971, ireland, belfast northern ireland, belfast, reference to david bowie, one word title, year in title, punctuation in title, apostrophe in title",2014,,99,A young and disoriented British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast in 1971.,English,United Kingdom,http://ia.media-imdb.com/images/M/MV5BMTkzNzc2Nzg2OF5BMl5BanBnXkFtZTgwMjU0ODc0MjE@._V1_SX300.jpg,17749,13,7.7,"2,305",3,2,http://www.imdb.com/title/tt2614684/
Á annan veg (2011),No,0,,Fail,Fail,Fail,"Comedy, Drama",Hafsteinn Gunnar Sigurðsson,"Hilmar Guðjónsson, Sveinn Ólafur Gunnarsson, Þorsteinn Bachmann, Valgerður Rúnarsdóttir","Mystery Island, Flickbook Films",,2011,,84,Two employees of the Icelandic Road Administration spend the summer painting lines on the winding roads as they both find themselves at a crossroads in their lives.,Icelandic,Iceland,http://ia.media-imdb.com/images/M/MV5BMTQzNzczNDc4OV5BMl5BanBnXkFtZTgwNTg1MzE1MTE@._V1_SX300.jpg,2312,43,6.7,345,13,6,http://www.imdb.com/title/tt2009643/
A Bag of Hammers (2011),Yes,3,Dubious,Pass,Pass,Pass,"Comedy, Drama",Brian Crano,"Jason Ritter, Jake Sandvig, Chandler Canterbury, Rebecca Hall",,"misfit, abandoned child, best friend, traffic stop, desperate woman, payment in kind, indecent proposal, poor family, absent mother, hopelessness",2011,Not Rated,85,"Two misfit best friends incapable of growing up, whose direction is tested by an abandoned child, worn beyond his years; together they invent the family they've always needed.",English,United States,http://ia.media-imdb.com/images/M/MV5BMzM5ODI0MDYyOV5BMl5BanBnXkFtZTcwNjMxMTA3Nw@@._V1_SX300.jpg,14392,2,6.7,"2,148",2,,http://www.imdb.com/title/tt1509787/
A coup sur (2014),No,2,,Pass,Pass,Fail,Comedy,Delphine de Vigan,"Laurence Arné, Eric Elmosnino, Didier Bezace, Valérie Bonneton","Epithète Films, Universal Studios, Orange Cinéma Séries","dentist, paris france, dream sequence, call girl, picnic, boss's son, dinner, nudity, porn actor, sexologist",2014,,91,,French,France,,689,,4.5,153,,,http://www.imdb.com/title/tt2545186/
A Dangerous Method (2011),Yes,3,Dubious,Pass,Pass,Pass,"Biography, Drama, Thriller",David Cronenberg,"Keira Knightley, Viggo Mortensen, Michael Fassbender, Vincent Cassel","Recorded Picture Company (RPC), Lago Film, Prospero Pictures","carl jung, sigmund freud, patient, doctor, psychoanalysis, russian, russian woman, dream interpretation, child abuse, statue of liberty new york city",2011,Restricted,99,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,English,"United Kingdom, Germany, Canada, Switzerland",http://ia.media-imdb.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_SX300.jpg,437177,130,6.5,"67,258",20,22,http://www.imdb.com/title/tt1571222/
A Field in England (2013),No,0,,Fail,Fail,Fail,"Drama, Horror",Ben Wheatley,"Julian Barratt, Peter Ferdinando, Richard Glover, Ryan Pope","Film4, Rook Films","diseased penis, leg shattered by musket shot, loading musket with ramrod, campsite demolished by wind, mushroom induced euphoria, eating toxic fungi, dragging dead body, bleeding to death, urinating on someone, drug induced hallucination",2013,Not Rated,90,"Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field. Captured by an alchemist, the men are forced to help him search to find a hidden treasure that he believes is buried in the field.",English,United Kingdom,http://ia.media-imdb.com/images/M/MV5BMjcyNzQyMjI0NF5BMl5BanBnXkFtZTgwNjU2MDc5MDE@._V1_SX300.jpg,29239,12,6.2,"4,716",7,1,http://www.imdb.com/title/tt2375574/
A Good Day to Die Hard (2013),No,1,,Pass,Fail,Fail,"Action, Crime, Thriller",John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead","Twentieth Century Fox, TSG Entertainment, Giant Pictures","russian, courthouse, cia, escape, bomb, undercover, explosion, gunfight, final showdown, police shootout",2013,Restricted,98,"John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.","English, Russian, Hindi",United States,http://ia.media-imdb.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg,729455,19,5.3,"137,633",4,3,http://www.imdb.com/title/tt1606378/
A Halloween Puppy (2012),No,2,,Pass,Pass,Fail,Family,David DeCoteau,"Evan Crooks, Stephanie Shemanski, Kristine DeBell, Eric Roberts",Rapid Heart Pictures,"dog, witchcraft, bigfoot costume, homemade haunted house attraction, cowboy costume, transformation, halloween decoration, spell, spell book, halloween",2012,,80,A boy accidentally turns his mom's boyfriend into a dog.,English,United States,http://ia.media-imdb.com/images/M/MV5BMjEyNTcyOTg1MF5BMl5BanBnXkFtZTcwMTg0OTgxOQ@@._V1_SX300.jpg,310,,4.3,72,,,http://www.imdb.com/title/tt2404153/
A Happy Event (2011),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama",Rémi Bezançon,"Louise Bourgoin, Pio Marmaï, Josiane Balasko, Thierry Frémont","Mandarin Films, Gaumont, France 2 Cinéma","sex with a pregnant woman, pregnant woman nude, breast, erection, title appears in writing, video library, bath, writing, crying, vomit",2011,Restricted,107,"She drove me into a corner, then forced me to go beyond my limits. She made me confront the absolute: love, sacrifice, tenderness, abandonment. She dislocated me, transformed me. Why didn't...",French,"France, Belgium",http://ia.media-imdb.com/images/M/MV5BMTQwMjI1MjcwN15BMl5BanBnXkFtZTcwNzg1MTEzOA@@._V1_SX300.jpg,18315,,6.6,"2,775",,,http://www.imdb.com/title/tt1987018/
A Haunting at Silver Falls (2013),Yes,3,Clear,Pass,Pass,Pass,"Horror, Thriller",Brett Donowho,"Erick Avari, Steve Bacic, James C. Burns, James Cavlo","Enderby Entertainment, Tony-Seven Films",bare chested male,2013,,96,A small town is haunted by the twin daughters of a wrongfully convicted man. Young Jordan is sent down the path to who the real killer is only to find the killer is very close to her.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTQ4NzcyODQ4OV5BMl5BanBnXkFtZTcwOTkxMzcyOQ@@._V1_SX300.jpg,7811,,4.7,"1,662",,,http://www.imdb.com/title/tt1813609/
A Late Quartet (2012),Yes,3,Clear,Pass,Pass,Pass,"Drama, Music",Yaron Zilberman,"Catherine Keener, Christopher Walken, Philip Seymour Hoffman, Mark Ivanir","Opening Night Productions, Concept Entertainment, Unison Films","string quartet, cellist, parkinson's disease, reference to ludwig van beethoven, performing from memory, standing ovation, replacement, attacca, playing violin, art museum",2012,Restricted,105,"Members of a world-renowned string quartet struggle to stay together in the face of death, competing egos and insuppressible lust.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTM3MDc3MzIzNV5BMl5BanBnXkFtZTcwNjkwNTU0OA@@._V1_SX300.jpg,60563,,7.1,"8,530",,,http://www.imdb.com/title/tt1226240/
A Little Bit of Heaven (2011),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama, Fantasy",Nicole Kassell,"Kate Hudson, Gael García Bernal, Kathy Bates, Lucy Punch","Davis Entertainment, Film Department, MJW Films","car bicycle accident, title directed by female, father daughter relationship, tearjerker, sales pitch, advertising executive, party, afterlife, reference to god, new orleans louisiana",2011,"Parental guidance, Unsuitable for children under 13",106,An irreverent young woman who uses her humor to prevent matters from getting serious has a life-changing visit with her doctor.,English,United States,http://ia.media-imdb.com/images/M/MV5BNzY1MDkzMTc0NF5BMl5BanBnXkFtZTcwODc5NDU1Nw@@._V1_SX300.jpg,117734,,6.3,"18,688",,,http://www.imdb.com/title/tt1440161/
A Little Help (2010),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama, Romance",Michael J. Weithorn,"Jenna Fischer, Jay Klaitz, Daniel Yelsky, Brooke Smith",Secret Handshake Entertainment,"dental hygienist, private school, medical malpractice, tort lawyer, real estate broker, reference to mike piazza, reference to michael bloomberg, overweight child, man and woman having sex, gazebo",2010,Restricted,109,A woman gets entangled in a series of bizarre lies in order to take care of herself and her 12 year old son.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTkxOTg4NDc2MV5BMl5BanBnXkFtZTcwMDU0MTIzNQ@@._V1_SX300.jpg,13475,6,5.7,"2,364",1,1,http://www.imdb.com/title/tt1319722/
A Lonely Place to Die (2011),Yes,3,Clear,Pass,Pass,Pass,"Action, Adventure, Crime",Julian Gilbey,"Alec Newman, Ed Speleers, Melissa George, Kate Magowan","Carnaby International, Eigerwand Pictures, Molinare Studio","dying man, thick accent, mountaineering, group of friends, sniper, scotland, scottish highlands, kidnapper, mountaineer, kidnapped girl",2011,Restricted,99,A group of mountaineers in the Scottish Highlands discover a kidnapped girl and are pursued by her captors.,"English, Serbian",United Kingdom,http://ia.media-imdb.com/images/M/MV5BNTM5OTA2MTc2N15BMl5BanBnXkFtZTcwMjI3NDQyNg@@._V1_SX300.jpg,119379,32,6.3,"18,949",2,6,http://www.imdb.com/title/tt1422136/
