;A;B;C
R488;0;0;1
R489;1;1;0
R490;0;0;1
R491;1;1;0
R492;1;1;1
R493;0;1;1
R494;1;0;1
R495;1;0;0
R496;0;1;0
R497;0;0;0
R498;0;0;0
R499;0;0;1
R500;0;1;1
R501;0;1;1
R502;0;0;0
R503;0;1;0
R504;1;0;0
R505;0;1;0
R506;1;1;0
R507;1;1;0
R508;1;0;1
R509;0;0;0
R510;0;0;1
R511;0;0;1
R512;1;0;1
R513;0;1;0
R514;1;0;0
R515;1;0;0
R516;1;0;0
R517;0;1;0
R518;0;1;0
R519;0;1;1
R520;1;1;0
R521;0;0;1
R522;1;0;1
R523;0;0;0
R524;1;1;1
R525;1;1;1
R526;0;1;1
R527;0;1;0
R528;1;1;0
R529;1;1;1
R530;0;0;1
R531;1;1;0
R532;1;1;0
R533;1;0;0
R534;0;1;0
R535;0;0;1
R536;0;0;0
R537;1;1;0
R538;0;1;0
R539;1;0;0
R540;1;1;0
R541;0;1;0
R542;0;0;1
R543;0;1;1
R544;0;0;0
R545;1;0;1
R546;0;1;1
R547;0;1;1
R548;0;0;1
R549;0;1;1
R550;0;0;0
R551;1;0;0
R552;1;0;1
R553;0;1;0
R554;0;1;0
R555;0;1;1
R556;0;0;0
R557;0;0;1
R558;0;1;1
R559;0;1;0
R560;0;1;1
R561;0;1;1
R562;1;0;0
R563;1;0;0
R564;0;0;0
R565;1;1;1
R566;1;1;1
R567;1;1;0
R568;1;1;1
R569;0;0;1
R570;0;1;1
R571;1;0;0
R572;0;0;0
R573;0;0;0
R574;1;0;1
R575;1;1;1
R576;0;0;0
R577;1;1;1
R578;1;1;0
R579;0;1;1
R580;0;1;0
R581;1;1;0
R582;0;0;1
R583;0;1;0
R584;0;0;1
R585;0;1;0
R586;1;1;1
R587;1;1;0
R588;1;1;1
R589;1;0;1
R590;1;0;0
R591;1;1;0
R592;0;0;1
R593;1;1;0
R594;0;1;0
R595;0;0;1
R596;1;1;1
R597;0;1;0
R598;1;0;0
R599;0;0;1
R600;1;0;1
R601;1;1;1
R602;1;1;0
R603;0;0;0
R604;0;0;0
R605;0;0;1
R606;0;1;1
R607;1;1;0
R608;1;0;0
R609;1;0;0
R610;1;1;1
R611;1;0;1
R612;1;1;1
R613;1;0;1
R614;0;1;1
R615;1;1;0
R616;1;0;1
R617;0;1;1
R618;0;1;1
R619;1;0;0
R620;1;0;0
R621;0;0;0
R622;0;0;1
R623;0;0;1
R624;0;0;0
R625;0;1;1
R626;0;0;1
R627;0;1;0
R628;0;0;0
R629;0;1;0
R630;0;0;1
R631;1;1;0
R632;0;0;1
R633;1;0;1
R634;0;1;0
R635;0;0;0
R636;1;0;1
R637;0;1;1
R638;0;0;1
R639;0;1;0
R640;1;0;0
R641;1;1;1
R642;0;1;1
R643;1;0;0
R644;1;0;0
R645;1;1;1
R646;0;1;1
R647;0;0;1
R648;0;0;0
R649;1;1;0
R650;1;0;0
R651;1;0;0
R652;0;1;1
R653;1;1;0
R654;1;1;0
R655;1;0;1
R656;0;1;0
R657;0;0;1
R658;0;1;1
R659;0;0;1
R660;0;1;1
R661;0;0;1
R662;0;1;1
R663;0;1;1
R664;0;1;1
R665;0;1;1
R666;1;0;1
R667;1;1;0
R668;1;0;1
R669;1;1;1
R670;0;0;0
R671;0;0;0
R672;1;0;0
R673;0;0;0
R674;1;0;0
R675;0;1;0
R676;1;0;1
R677;0;0;1
R678;1;1;0
R679;0;1;0
R680;0;1;0
R681;1;0;0
R682;1;0;0
R683;1;1;1
R684;1;1;1
R685;1;1;1
R686;0;1;0
R687;1;1;1
R688;1;0;0
R689;0;0;0
R690;0;1;1
R691;1;1;0
R692;1;1;0
R693;1;0;0
R694;0;1;1
R695;1;0;1
R696;1;1;0
R697;0;1;1
R698;1;0;0
R699;1;0;1
R700;0;0;0
R701;1;1;1
R702;1;1;1
R703;1;1;1
R704;0;0;0
R705;1;0;0
R706;0;1;0
R707;0;0;1
R708;0;0;0
R709;0;0;0
R710;0;1;0
R711;1;0;0
R712;1;0;1
R713;1;0;1
R714;0;1;0
R715;0;0;0
R716;0;0;0
R717;0;0;1
R718;1;1;0
R719;0;0;0
R720;1;1;1
R721;0;1;1
R722;0;1;0
R723;0;0;0
R724;1;0;0
R725;1;0;0
R726;1;1;1
R727;1;1;0
R728;1;0;1
R729;0;1;0
R730;0;0;0
R731;1;1;0
R732;0;0;1
R733;0;1;0
R734;1;1;0
R735;0;0;1
R736;0;0;0
R737;1;0;0
R738;0;1;1
R739;0;1;1
R740;1;1;0
R741;1;1;0
R742;0;1;0
R743;1;0;1
R744;0;1;1
R745;0;0;0
R746;1;0;0
R747;1;1;1
R748;0;0;1
R749;1;0;1
R750;0;1;0
R751;0;1;1
R752;1;0;1
R753;0;1;0
R754;0;0;1
R755;1;0;1
R756;1;0;1
R757;0;1;1
R758;0;0;0
R759;0;1;1
R760;1;1;1
R761;1;0;0
R762;1;1;0
R763;1;0;1
R764;1;0;1
R765;0;0;0
R766;0;0;1
R767;0;0;0
R768;0;1;0
R769;1;0;1
R770;0;0;1
R771;0;1;1
R772;0;1;1
R773;1;1;1
R774;1;1;1
R775;0;1;0
R776;1;1;0
R777;0;1;1
R778;0;1;1
R779;0;0;1
R780;0;0;1
R781;0;1;0
R782;0;0;1
R783;1;0;0
R784;0;0;0
R785;1;0;1
R786;0;0;0
R787;0;1;0
R788;1;0;0
R789;1;0;0
R790;0;0;1
R791;1;1;0
R792;0;1;1
R793;0;1;1
R794;0;0;0
R795;0;0;1
R796;1;0;0
R797;0;1;1
R798;0;1;1
R799;1;0;0
R800;0;1;0
R801;1;1;1
R802;0;1;1
R803;0;1;0
R804;0;0;0
R805;1;0;0
R806;0;0;0
R807;0;0;0
R808;0;0;0
R809;1;0;0
R810;0;0;0
R811;0;1;1
R812;1;1;0
R813;1;1;0
R814;0;1;0
R815;0;0;1
R816;0;1;1
R817;1;0;0
R818;0;0;1
R819;0;0;1
R820;0;1;1
R821;1;1;1
R822;1;0;0
R823;1;0;1
R824;1;1;1
R825;0;0;0
R826;1;0;0
R827;0;1;1
R828;1;1;1
R829;0;0;0
R830;0;0;0
R831;1;1;0
R832;1;1;1
R833;0;1;0
R834;1;0;0
R835;1;1;0
R836;0;0;0
R837;0;1;1
R838;1;0;0
R839;0;1;1
R840;1;1;1
R841;0;0;1
R842;0;0;1
R843;1;1;0
R844;1;1;1
R845;1;0;1
R846;1;0;0
R847;0;1;0
R848;0;0;0
R849;0;0;0
R850;0;0;0
R851;1;1;0
R852;1;1;1
R853;0;0;0
R854;0;0;1
R855;1;0;1
R856;0;1;1
R857;0;1;0
R858;0;0;1
R859;1;1;0
R860;0;1;0
R861;1;0;1
R862;0;0;1
R863;1;0;1
R864;1;0;1
R865;1;0;1
R866;1;0;1
R867;1;1;0
R868;0;0;1
R869;1;0;0
R870;0;0;1
R871;1;0;1
R872;1;1;0
R873;1;1;0
R874;1;1;1
R875;1;1;0
R876;0;1;0
R877;0;1;1
R878;1;1;1
R879;0;1;1
R880;1;0;1
R881;1;1;1
R882;1;1;1
R883;1;1;1
R884;1;0;0
R885;0;1;1
R886;0;0;1
R887;0;0;1
R888;0;1;0
R889;1;0;0
R890;1;1;0
R891;1;0;0
R892;0;1;1
R893;1;1;1
R894;1;1;0
R895;0;0;1
R896;1;0;1
R897;0;1;0
R898;0;0;1
R899;1;0;0
R900;1;0;1
R901;0;0;0
R902;1;0;1
R903;1;0;1
R904;1;1;1
R905;0;0;1
R906;0;1;1
R907;0;0;0
R908;1;0;1
R909;1;1;0
R910;0;0;1
R911;1;0;0
R912;1;1;0
R913;0;1;1
R914;0;0;0
R915;0;0;1
R916;0;1;1
R917;1;1;1
R918;0;0;0
R919;1;0;1
R920;0;0;1
R921;0;1;0
R922;1;1;0
R923;1;1;1
R924;0;1;0
R925;0;0;1
R926;1;0;0
R927;1;1;1
R928;0;0;1
R929;0;0;1
R930;1;0;1
R931;0;1;0
R932;1;1;0
R933;1;1;1
R934;1;1;0
R935;0;0;0
R936;1;1;0
R937;1;1;0
R938;0;1;0
R939;1;1;1
R940;0;1;1
R941;1;0;0
R942;0;0;0
R943;1;0;1
R944;1;1;0
R945;1;0;1
R946;0;0;0
R947;0;1;1
R948;0;1;0
R949;1;1;1
R950;0;1;1
R951;1;1;0
R952;1;0;1
R953;0;1;0
R954;0;1;0
R955;1;0;0
R956;0;1;1
R957;0;1;1
R958;1;0;1
R959;1;0;1
R960;0;0;1
R961;1;0;1
R962;1;0;0
R963;1;1;1
R964;0;1;0
R965;1;1;1
R966;0;0;0
R967;0;1;1
R968;0;1;1
R969;1;0;0
R970;0;0;0
R971;1;0;0
R972;1;0;1
R973;0;0;1
R974;0;1;0
R975;1;0;1
R976;1;1;0
R977;1;1;1
R978;1;1;1
R979;0;0;1
R980;1;0;1
R981;0;1;0
R982;1;0;0
R983;0;1;0
R984;0;0;1
R985;0;0;0
R986;0;0;1
R987;1;0;1
R988;0;0;1
R989;0;0;0
R990;0;0;0
R991;1;0;0
R992;0;0;1
R993;0;1;1
R994;1;1;0
R995;1;0;0
R996;1;0;0
R997;0;0;0
R998;0;1;1
R999;1;0;0
R1000;1;0;1
R1001;0;0;0
R1002;0;1;1
R1003;1;0;1
R1004;1;0;1
R1005;1;0;1
R1006;0;1;0
R1007;1;0;0
R1008;1;0;1
R1009;0;0;1
R1010;1;0;1
R1011;0;1;0
R1012;0;1;0
R1013;1;1;1
R1014;1;1;1
R1015;1;1;0
R1016;1;1;0
R1017;0;1;0
R1018;1;1;1
R1019;0;1;0
R1020;0;1;0
R1021;1;0;1
R1022;0;0;1
R1023;1;0;0
R1024;1;1;1
R1025;0;1;0
R1026;0;0;0
R1027;1;0;1
R1028;0;0;1
R1029;0;0;1
R1030;0;1;1
R1031;0;0;0
R1032;1;0;1
R1033;1;0;0
R1034;1;1;0
R1035;0;1;1
R1036;1;1;0
R1037;1;0;0
R1038;1;1;1
R1039;0;1;1
R1040;1;1;0
R1041;1;0;0
R1042;1;0;0
R1043;0;0;1
R1044;1;1;0
R1045;0;1;1
R1046;0;0;1
R1047;0;1;1
R1048;0;0;0
R1049;1;0;0
R1050;1;1;0
R1051;1;0;1
R1052;1;0;0
R1053;0;1;1
R1054;0;0;1
R1055;1;0;1
R1056;0;1;0
R1057;0;0;0
R1058;0;1;1
R1059;0;1;1
R1060;1;0;1
R1061;1;0;0
R1062;1;0;0
R1063;0;0;1
R1064;1;0;1
R1065;0;1;0
R1066;1;1;0
R1067;1;1;1
R1068;0;0;0
R1069;0;1;0
R1070;0;1;1
R1071;1;1;1
R1072;0;1;1
R1073;1;1;0
R1074;0;0;1
R1075;1;0;1
R1076;1;1;1
R1077;0;0;0
R1078;0;0;1
R1079;0;0;0
R1080;0;1;1
R1081;0;1;1
R1082;1;0;1
R1083;0;0;0
R1084;0;1;1
R1085;0;0;1
R1086;1;0;0
R1087;0;0;1
R1088;1;1;1
R1089;0;1;1
R1090;1;1;0
R1091;1;1;1
R1092;0;1;0
R1093;0;0;0
R1094;1;0;0
R1095;1;0;0
R1096;0;1;1
R1097;0;0;1
R1098;0;0;1
R1099;0;0;0
R1100;1;1;1
R1101;0;1;1
R1102;0;0;1
R1103;1;0;1
R1104;0;1;1
R1105;1;0;0
R1106;1;1;0
R1107;0;1;1
R1108;1;1;1
R1109;1;1;0
R1110;0;1;0
R1111;0;0;0
R1112;0;1;0
R1113;0;0;1
R1114;0;1;1
R1115;0;0;1
R1116;0;0;1
R1117;0;1;1
R1118;1;0;1
R1119;0;1;0
R1120;1;1;1
R1121;0;0;1
R1122;1;1;1
R1123;1;1;1
R1124;1;0;0
R1125;1;1;0
R1126;1;1;1
R1127;0;0;0
R1128;1;0;0
R1129;0;0;1
R1130;1;1;0
R1131;1;1;0
R1132;1;0;1
R1133;1;1;1
R1134;1;0;1
R1135;1;1;1
R1136;0;0;0
R1137;0;1;0
R1138;1;1;1
R1139;0;1;1
R1140;0;1;0
R1141;0;1;1
R1142;1;0;0
R1143;0;0;0
R1144;1;1;1
R1145;0;1;1
R1146;0;0;0
R1147;0;0;0
R1148;1;1;1
R1149;0;1;1
R1150;0;1;1
R1151;0;0;0
R1152;1;1;1
R1153;1;1;0
R1154;0;1;0
R1155;0;0;0
R1156;0;1;1
R1157;0;1;0
R1158;0;1;0
R1159;0;1;1
R1160;0;0;1
R1161;1;0;0
R1162;0;1;1
R1163;0;0;1
R1164;1;1;0
R1165;1;1;1
R1166;1;0;1
R1167;1;1;0
R1168;1;0;1
R1169;1;1;0
R1170;0;1;1
R1171;0;1;0
R1172;0;0;0
R1173;1;0;0
R1174;0;1;1
R1175;1;1;1
R1176;0;0;1
R1177;1;0;1
R1178;1;1;0
R1179;1;1;0
R1180;0;1;1
R1181;1;1;1
R1182;0;0;1
R1183;1;1;0
R1184;1;0;0
R1185;0;0;1
R1186;1;1;1
R1187;0;1;1
R1188;0;0;1
R1189;1;0;1
R1190;1;1;0
R1191;1;0;1
R1192;1;1;0
R1193;1;0;0
R1194;1;1;0
R1195;0;0;0
R1196;0;1;0
R1197;1;1;0
R1198;0;0;1
R1199;0;0;1
R1200;1;1;0
R1201;1;0;0
R1202;0;1;1
R1203;1;1;1
R1204;1;1;0
R1205;1;1;0
R1206;0;1;0
R1207;1;1;0
R1208;1;1;0
R1209;0;1;1
R1210;0;1;1
R1211;1;1;1
R1212;1;1;0
R1213;0;0;0
R1214;0;0;0
R1215;1;1;0
R1216;1;0;1
R1217;1;1;0
R1218;1;1;1
R1219;0;1;0
R1220;1;0;0
R1221;0;0;0
R1222;1;0;1
R1223;0;1;0
R1224;0;1;1
R1225;1;1;0
R1226;1;0;1
R1227;0;0;1
R1228;1;0;0
R1229;1;0;0
R1230;0;0;1
R1231;0;1;1
R1232;1;1;1
R1233;1;0;1
R1234;1;1;0
R1235;0;0;0
R1236;1;1;1
R1237;0;0;1
R1238;1;0;0
R1239;0;1;0
R1240;0;0;0
R1241;0;0;1
R1242;1;1;0
R1243;0;1;0
R1244;1;0;0
R1245;0;1;0
R1246;0;1;1
R1247;0;1;1
R1248;0;1;0
R1249;1;1;0
R1250;0;0;0
R1251;1;1;0
R1252;0;0;1
R1253;1;0;0
R1254;0;0;1
R1255;0;1;1
R1256;1;1;1
R1257;0;1;0
R1258;1;1;0
R1259;0;0;0
R1260;0;0;1
R1261;0;0;0
R1262;0;0;1
R1263;1;1;0
R1264;1;0;1
R1265;0;1;0
R1266;1;0;0
R1267;1;0;1
R1268;1;0;1
R1269;1;0;1
R1270;1;0;1
R1271;0;0;0
R1272;1;0;1
R1273;1;1;1
R1274;0;0;1
R1275;0;1;1
R1276;1;0;0
R1277;0;1;0
R1278;1;0;1
R1279;1;1;1
R1280;0;0;1
R1281;1;1;1
R1282;1;0;0
R1283;1;0;1
R1284;1;1;0
R1285;0;1;0
R1286;0;1;0
R1287;0;1;1
R1288;0;1;0
R1289;0;1;1
R1290;1;0;1
R1291;1;1;0
R1292;0;1;1
R1293;0;0;0
R1294;0;0;0
R1295;0;1;1
R1296;0;0;1
R1297;0;1;1
R1298;1;1;0
R1299;0;1;1
R1300;1;1;1
R1301;0;1;0
R1302;0;1;1
R1303;1;0;0
R1304;0;1;0
R1305;1;0;0
R1306;1;1;0
R1307;0;1;1
R1308;1;1;1
R1309;0;0;0
R1310;1;0;0
R1311;0;0;0
R1312;0;1;1
R1313;1;1;1
R1314;0;1;1
R1315;1;0;1
R1316;0;1;1
R1317;0;0;0
R1318;0;0;0
R1319;1;1;0
R1320;1;0;1
R1321;1;1;0
R1322;0;0;0
R1323;1;1;1
R1324;1;1;0
R1325;1;1;1
R1326;0;1;0
R1327;0;0;0
R1328;1;0;1
R1329;1;1;0
R1330;0;1;1
R1331;1;0;0
R1332;0;1;0
R1333;0;1;0
R1334;0;1;1
R1335;1;0;1
R1336;1;1;1
R1337;0;0;0
R1338;1;1;0
R1339;1;0;0
R1340;1;1;0
R1341;0;0;0
R1342;0;1;1
R1343;1;0;0
R1344;0;0;0
R1345;0;0;0
R1346;1;1;1
R1347;1;0;1
R1348;1;1;0
R1349;0;1;0
R1350;0;1;1
R1351;0;1;0
R1352;1;0;0
R1353;1;1;1
R1354;0;1;1
R1355;1;0;1
R1356;0;1;1
R1357;0;0;1
R1358;1;0;1
R1359;0;1;0
R1360;0;0;0
R1361;0;1;1
R1362;1;0;1
R1363;1;1;1
R1364;1;0;1
R1365;0;1;1
R1366;0;1;0
R1367;1;0;1
R1368;0;0;1
R1369;1;1;0
R1370;0;0;1
R1371;0;1;1
R1372;0;0;1
R1373;1;0;1
R1374;1;0;0
R1375;1;0;1
R1376;0;0;1
R1377;1;1;1
R1378;0;1;1
R1379;1;1;0
R1380;1;0;0
R1381;1;1;0
R1382;0;1;1
R1383;1;1;1
R1384;0;1;0
R1385;1;0;0
R1386;0;0;1
R1387;1;0;1
R1388;0;1;0
R1389;0;0;0
R1390;1;0;0
R1391;0;1;0
R1392;1;0;0
R1393;1;1;1
R1394;0;0;1
R1395;0;1;0
R1396;1;0;1
R1397;0;0;1
R1398;1;1;1
R1399;0;1;0
R1400;1;1;0
R1401;0;0;1
R1402;0;1;0
R1403;0;1;0
R1404;1;0;0
R1405;0;1;0
R1406;1;0;1
R1407;0;1;0
R1408;0;0;0
R1409;1;0;1
R1410;0;1;0
R1411;1;1;1
R1412;0;1;1
R1413;0;0;1
R1414;0;1;0
R1415;1;0;0
R1416;0;0;0
R1417;1;1;1
R1418;0;1;0
R1419;0;0;0
R1420;1;0;0
R1421;0;0;0
R1422;1;1;0
R1423;0;1;1
R1424;1;1;0
R1425;0;1;0
R1426;1;1;1
R1427;1;0;1
R1428;0;1;0
R1429;1;0;0
R1430;0;1;0
R1431;0;1;0
R1432;1;1;1
R1433;1;1;0
R1434;0;1;0
R1435;1;0;0
R1436;1;1;1
R1437;0;0;0
R1438;1;1;0
R1439;1;0;0
R1440;1;0;0
R1441;1;0;1
R1442;1;1;1
R1443;0;0;1
R1444;0;1;1
R1445;1;1;0
R1446;1;1;1
R1447;1;0;1
R1448;1;1;0
R1449;0;1;1
R1450;1;0;0
R1451;0;0;1
R1452;0;1;0
R1453;1;1;0
R1454;1;1;0
R1455;0;0;1
R1456;1;1;1
R1457;1;1;1
R1458;0;0;0
R1459;0;0;1
R1460;0;1;1
R1461;0;0;0
R1462;1;0;1
R1463;0;1;1
R1464;0;1;1
R1465;0;1;0
R1466;1;1;1
R1467;0;1;0
R1468;0;1;1
R1469;1;1;0
R1470;1;1;1
R1471;0;0;1
R1472;1;0;1
R1473;1;0;0
R1474;0;1;1
R1475;1;0;0
R1476;1;0;0
R1477;0;1;1
R1478;1;0;0
R1479;0;1;1
R1480;0;0;1
R1481;1;0;0
R1482;1;1;0
R1483;1;1;0
R1484;0;0;1
R1485;1;1;0
R1486;1;1;1
R1487;0;1;0
R1488;0;0;1
R1489;1;0;1
R1490;1;0;1
R1491;0;0;1
R1492;0;0;0
R1493;1;0;1
R1494;0;0;0
R1495;0;0;0
R1496;1;1;0
R1497;0;0;0
R1498;0;1;1
