eye_right_x,eye_right_y,sex,mouth l_y,mouth l_x,nose_x,nose_y,id,eye_left_x,eye_left_y,city,confidence,pose_pitch,emotion_calm,boundingbox_size_width,combined_age_guess,smile,mouth r_y,mouth_l_x,mouth_l_y,mouth_r_x,mouth_r_y,pose_roll,mouth r_x,emotion_angry,boundingbox_size_height,mouth_open_wide,emotion_sad,emotion_confused,emotion_happy,boundingbox_tl_y,boundingbox_tl_x,emotion_disgust,age,combined_gender_guess,eye_closed,pose_yaw,emotion_surprised,glasses
95.5,65.1,1,96.2,60.6,84.3,78.5,4f08f9d05e4011e3bc1b0eccfd8aa9b3_5.jpg,60.1,63.5,sao_paulo,1,9.7,0,90.77,33.6666666667,1,97.1,60.6,96.2,96.4,97.1,1.52,96.4,,90.77,0.3,0,,1,28.46,33.08,,31.95,1.0,0,27.87,,0.01
94.3,46.3,0.76,84.6,82,83.5,64.3,45d3fee45dde11e3b0ef12eff38310dc_5.jpg,70.6,53.7,sao_paulo,0.99,5.13,,72.31,28.3333333333,0.01,78.1,82,84.6,101.1,78.1,-17.7,101.1,0.02,72.31,0.01,0.18,,0.45,27.69,54.62,,30.88,0.0,0.23,-12.66,,0.98
97.3,51.1,0.25,91.3,57.4,73,72.5,367759f05ece11e38e3512dccb63aae0_5.jpg,56.7,52.2,sao_paulo,1,5.22,,97.69,47.3333333333,0.99,91.8,57.4,91.3,93.1,91.8,-1.74,93.1,,97.69,0.23,0.01,,1,14.62,26.92,,48.18,0.333333333333,0,-12.32,0.01,0.1
97.2,38.6,0.41,62,71.2,92.2,41.5,2facbdbe5d5111e3bc2f1257a4670215_5.jpg,70.9,31.7,sao_paulo,1,29.19,0.61,68.46,25.3333333333,0,67.3,71.2,62,92.6,67.3,13.46,92.6,,68.46,0.11,0.18,,0.07,6.15,50.77,,18.24,0.0,0.02,48.68,,0.01
87.8,62.2,0,96.3,56.2,71.4,80.4,33e3143c61cf11e38a2d121a7ff3b48e_5.jpg,52.9,62,berlin,1,0.17,0.26,86.15,23.0,0.02,96.1,56.2,96.3,85.7,96.1,-0.32,85.7,,86.15,0,0.17,,0.16,27.69,27.69,,16.95,0.0,0,7.42,,0
54.8,51.8,0.04,88.5,60.3,54,69.9,44d44dfa609a11e3906e128ba0be3eb7_5.jpg,36.2,70.8,bangkok,1,9.73,0.58,62.31,21.3333333333,0.31,73.9,60.3,88.5,73.3,73.9,-46.07,73.3,,62.31,0.24,,,0.03,36.92,20.77,,18.7,0.0,0,-4.75,0.12,0.04
87.2,60.3,0.16,98.6,51.7,70.2,82.3,6b947bb25d0811e39dc4120cf9a4763f_5.jpg,53.8,60.2,ny,0.98,0.27,0.05,77.69,33.0,0.34,99.2,51.7,98.6,77.9,99.2,-0.68,77.9,,77.69,0.01,,,0.34,30,30,0.01,41.99,0.0,0.24,16.59,,0
90.7,55.3,0.96,100.1,52.1,66.5,84.6,6ae3a8145db711e38dee122bd5d7bc13_5.jpg,47.7,53.1,bangkok,1,-11.91,0.07,108.46,22.0,0.95,100.3,52.1,100.1,87,100.3,3.06,87,,108.46,0,,0.02,0.87,15.38,16.92,,24.03,1.0,0,-12.05,,0
57.8,71.7,1,97.7,37.4,45.6,83.7,bf98df985dfb11e39a00129ce97e08e3_5.jpg,32.7,70.7,ny,1,5.27,0.01,66.92,36.1666666667,1,96.2,37.4,97.7,58.5,96.2,2.54,58.5,,66.92,0.53,,,1,45.38,11.54,0.03,38.05,1.0,0,-11.86,,0.01
97,80.6,0.98,111.2,70.4,80.9,96.9,07e2d1b8608711e3a86e1205af934060_5.jpg,65.6,82.5,bangkok,1,2.7,,80.77,19.6666666667,0.48,111,70.4,111.2,95.7,111,-4.37,95.7,0.06,80.77,0,0.08,0.4,,51.54,41.54,,44.95,1.0,0.38,-3.71,,1
116.8,107,0.03,122.6,96.4,110.7,116.8,f920d7f65d7a11e3ae19124868a8b882_5.jpg,99.9,105.3,berlin,0.02,-9.16,,63.08,15.3333333333,0.15,124.9,96.4,122.6,113,124.9,0.69,113,,63.08,0,0.48,0.01,0.77,80,81.54,,12.24,0.0,1,38.81,,0.15
64.9,70.8,0.62,104.5,37.6,55.8,91.3,3e07a3e0612711e399560efcb6fe9398_5.jpg,34.7,72.4,bangkok,1,-9.71,0.03,86.15,20.3333333333,0.99,102.6,37.6,104.5,62.1,102.6,-4.64,62.1,,86.15,0,,0.16,0.98,39.23,8.46,,28.83,0.0,0,25.31,,1
89.5,64.9,0.99,93.3,61.5,74.8,77.6,87a0f25c613d11e3aad01236c82f7517_5.jpg,62.7,62.9,ny,1,7.81,0.66,71.54,28.3333333333,0.4,95.5,61.5,93.3,83.6,95.5,3.89,83.6,,71.54,0,,0.22,0.2,36.15,38.46,,29.58,1.0,0.23,3.62,,0
91.7,73.8,1,91.3,71.7,82.1,79.2,40393a5c5f5611e389b50ed9ed7febb2_5.jpg,72.2,72.5,sao_paulo,1,15.41,0.73,58.46,23.0,0.91,92.6,71.7,91.3,89.7,92.6,3.69,89.7,,58.46,0,0.07,,0.88,49.23,53.08,,28.49,1.0,0.01,7.54,,0
96.5,45.6,0.99,66.1,73.7,84,53.1,6547ea465d0311e3948f0a4825b4191e_5.jpg,72.9,42.3,ny,1,9.8,,64.62,21.0,0.15,68.1,73.7,66.1,88.8,68.1,8.73,88.8,,64.62,0,0.11,,0.09,17.69,51.54,,34.11,1.0,0,5.99,0.08,0
87.3,68.4,0.05,94.1,64.9,73.9,84.4,26e89cb25dd211e386020ef894f0130c_5.jpg,63.2,65.7,moscow,1,-7.33,,56.92,28.3333333333,0.05,95.4,64.9,94.1,80.4,95.4,6,80.4,,56.92,0,0.34,,0.05,48.46,46.15,,22.9,0.0,0.02,0.91,0.13,0.19
74.4,75.3,0.98,112.6,46.9,51.3,100.3,b376aa5262dc11e3a744126758c35937_5.jpg,42.1,74,ny,0.9,-15.49,,79.23,31.0,0.31,113.3,46.9,112.6,69.8,113.3,3.03,69.8,0.74,79.23,0.12,,0.02,,43.08,17.69,,27.6,0.666666666667,0,-36.62,0.01,0
107.2,61.7,0,79.9,96.6,96.2,73.6,a90f5a44602211e38f0d1262a4bedf57_5.jpg,91.6,63.9,bangkok,1,-4.87,,46.15,20.1666666667,0.91,79.1,96.6,79.9,109,79.1,-6.88,109,0,46.15,0.49,0.03,,0.96,44.62,76.15,,18.7,0.0,0,-50.93,,0
88.6,43,0,70.6,64.6,74.8,60.3,7c0471f05d4e11e38f95121378c087a7_5.jpg,61.5,42.8,ny,1,-7.02,0.02,72.31,53.3333333333,0.97,70.1,64.6,70.6,85.3,70.1,0.17,85.3,0.01,72.31,0.01,,,0.61,15.38,39.23,,23.11,0.0,0,-5.46,,0
85.8,34.9,0.02,48.8,77,78.8,42.2,1dc5b10660c511e3a9470e8e37697600_5.jpg,75.1,36.6,ny,0.99,2.34,0.01,32.31,16.0,0.99,47.2,77,48.8,86.7,47.2,-7.73,86.7,,32.31,0.09,,,0.99,22.31,63.85,,24.45,0.0,0.29,-30.95,0,0
105.9,55.4,0.27,77.3,80.8,94.3,68.5,8ab5d266628011e3a82a1254f80f8824_5.jpg,82.1,50.4,bangkok,0.93,-1.91,,58.46,20.0,0.94,80.8,80.8,77.3,94.7,80.8,11.46,94.7,,58.46,0.72,0.14,0.05,,33.85,62.31,,22.36,0.0,0,23.78,0.86,0
82.7,66.1,0.14,86.2,46.4,67,73.5,97618c70612811e3b330122dbaf13212_5.jpg,50.2,49.1,ny,0.05,16.91,,89.23,10.0,0.81,98.2,46.4,86.2,74.9,98.2,27.15,74.9,0.33,89.23,0.17,,,0.28,13.85,23.08,,11.88,0.0,0,11.73,0.09,0
90.7,66.1,0.98,82.7,56.8,65.4,73.6,0323fd72616e11e3a9470e8e37697600_5.jpg,65.1,54.6,bangkok,0.96,-6.44,0.02,71.54,27.3333333333,1,93.3,56.8,82.7,76.2,93.3,26.44,76.2,,71.54,0,,0.03,0.99,34.62,43.08,,24.88,1.0,0,-27.03,,0
69.4,84,0,105.1,52.1,63,95.4,3b69359e602e11e38cd40a44dca95da8_5.jpg,51,86.4,ny,0.99,3.86,,49.23,23.6666666667,0.96,102.6,52.1,105.1,68.5,102.6,-9.36,68.5,0.11,49.23,0.16,0.02,,0.89,66.15,36.92,,18.24,0.0,0,23.33,,0
76.9,78.2,0,111.2,56.8,57.8,98.1,d0e9e6d45e9111e38f0d1262a4bedf57_5.jpg,50,81.4,berlin,0.79,-0.72,,82.31,24.3333333333,0.65,109.4,56.8,111.2,80.4,109.4,-5.67,80.4,,82.31,0.04,0.03,,0.86,50.77,28.46,,51.81,0.0,0,-37.6,0.05,1
96.2,35.1,0.93,67.3,74,84.3,51.9,b2a361105d5a11e3b825122510c6161c_5.jpg,69.5,37,berlin,1,1.9,0.25,69.23,21.6666666667,0,64.8,74,67.3,96.7,64.8,-4.58,96.7,,69.23,0,,0.04,,10.77,49.23,,39.22,1.0,0,2.5,0.15,0
114,37.4,0.02,46,83.3,106.5,38,3a32d2e260e811e3a2ca12a881e99ebc_5.jpg,93.9,25,sao_paulo,1,29.85,,62.31,20.6666666667,0.99,58.2,83.3,46,102.8,58.2,30.38,102.8,0.01,62.31,1,0.01,,0.98,4.62,70,,26.56,0.0,1,36.35,,0.03
83.3,69.8,0,68.5,58.2,71.5,74,31ff0d205f3511e3b2f70a3cc63667c9_5.jpg,72.5,57.2,bangkok,1,-2.23,0.01,50.77,22.5,1,79.7,58.2,68.5,68,79.7,48.12,68,,50.77,0.19,,,0.99,41.54,48.46,,23.37,0.0,0,46.31,0.02,0
69.1,16.7,0.01,36,55.1,64.2,28.6,5100dc3a5edb11e39f760a8f4e0ede20_5.jpg,53,17.9,moscow,0.97,-9.96,,41.54,22.0,0.6,35.5,55.1,36,66.2,35.5,-5.88,66.2,,41.54,0.48,0.1,,0.85,2.31,40.77,,18.96,0.0,0,34.74,0.03,0
75.3,47.5,0,70.1,55.4,56.6,62.5,ab28958a5f3b11e3907c1296586a1d24_5.jpg,51.4,49.1,berlin,1,-5.53,,61.54,22.3333333333,0.91,69.7,55.4,70.1,75.5,69.7,-3.15,75.5,,61.54,0.54,0.02,0.02,0.99,24.62,33.08,,16.13,0.0,0,-50.3,,0
85.9,77,0.98,101.3,62.4,72.4,89.1,4b6c2b7c5fc511e3b02d12f8f480b5a7_5.jpg,61.1,75,moscow,1,3.65,,74.62,24.3333333333,0.62,103.9,62.4,101.3,80.4,103.9,4.52,80.4,,74.62,0,0.02,0.56,0.4,45.38,37.69,,32.76,1.0,0.52,3.8,,0.85
103.2,53.3,0.08,83.5,73.5,86,72.4,78db16a45f5c11e3b859120b03260bcf_5.jpg,70.7,50.1,bangkok,1,-10.83,,73.08,22.3333333333,0.01,85.7,73.5,83.5,94.4,85.7,5.83,94.4,0.05,73.08,0.01,0.64,,0.17,25.38,49.23,,25.16,0.0,0.45,3.82,,0
78.8,49.4,0,63.3,52.9,63.4,57.9,3e5939f45f6e11e398a90e151e7c598f_5.jpg,57.8,42,berlin,1,-1.67,0.01,57.69,24.3333333333,0.93,70.5,52.9,63.3,71.9,70.5,19.5,71.9,,57.69,0.12,0.03,,1,23.08,36.15,,20.82,0.0,0.99,-11.36,,0
69.4,43.8,0.01,77,43.8,59.8,54.2,0dbf3cb661b811e3bb58123c1ed3b867_5.jpg,37.9,47,sao_paulo,1,12.71,,82.31,24.0,0.88,73.4,43.8,77,72.9,73.4,-8.5,72.9,,82.31,0.44,0.23,,1,13.08,13.08,0,22.57,0.0,1,23.09,,0
42.8,52.5,0.09,65.6,28.2,32.7,60.6,68d60b305eb511e3be44122b1e4ed0c1_5.jpg,31.4,51.5,sao_paulo,0.33,-13.48,,38.46,22.6666666667,0.96,66.5,28.2,65.6,37.8,66.5,7.57,37.8,0.29,38.46,0,0.04,,0.78,36.15,14.62,,0.03,0.0,0.02,-21.67,,0
103.6,75.6,0.6,103.5,77.6,89.9,90.7,133086985da111e3b2e4128e9f115fde_5.jpg,74.3,75.1,sao_paulo,1,-3.33,0.03,73.85,16.0,0.72,104.4,77.6,103.5,97.9,104.4,0.57,97.9,,73.85,0,,0.04,0.95,50.77,51.54,,33.29,0.666666666667,0,9.27,,0.51
98,18.4,0,49.7,73.2,94.5,32.3,158e83d05ee211e3801c129cd657fb38_5.jpg,69.2,15.8,ny,1,3.82,0.17,77.69,21.0,0.91,48.9,73.2,49.7,94.2,48.9,0.22,94.2,,77.69,0.23,0.13,,0.58,-6.92,41.54,,19.69,0.0,0,49.69,,0
73.9,77.3,0.07,103.1,54.8,63.6,89.1,4a66fa3061c411e3b0391231e80ea787_5.jpg,53.5,75.3,berlin,0.89,8.08,0.55,56.92,20.6666666667,0,104.7,54.8,103.1,71.9,104.7,4.63,71.9,0.04,56.92,0,0.18,,,53.85,38.46,,27.62,0.0,0,-2.72,,0
87.6,76.1,0.01,101.2,63.8,75,93.7,f98a6fa85e8e11e3b6de12d2153a7d75_5.jpg,60.4,74.4,berlin,1,-14.67,,62.31,16.3333333333,0.51,102.1,63.8,101.2,83.3,102.1,3.55,83.3,0.05,62.31,0.03,0.09,,0.26,53.08,43.08,,31.45,0.0,0,4.99,,0.91
97.7,35.4,0,80.5,89.6,89.1,55.3,44c2bb945ce911e3836c12c8f56b1a2b_5.jpg,69.1,52.1,sao_paulo,1,15.15,0.05,85.38,21.6666666667,0.79,68.1,89.6,80.5,110.5,68.1,-30.74,110.5,,85.38,0.76,,,0.41,11.54,45.38,,26.77,0.0,0,-4.33,0.02,0
89.6,46,0,69.2,73.9,74.8,64,0ab1c4245e7211e3b9e91278822c469c_5.jpg,68.4,46.7,moscow,1,-23.99,0.01,66.15,18.6666666667,0.94,68.7,73.9,69.2,89.9,68.7,-0.99,89.9,,66.15,0,0.01,,0.92,21.54,46.92,,23.17,0.0,0,-38.17,,0
73.4,46.1,0.11,80.1,58.1,55.6,63.5,0fc847185db811e3854d1270fc5719d7_5.jpg,50.5,51.7,moscow,1,7.35,0.07,69.23,17.0,0.12,75.9,58.1,80.1,75.7,75.9,-11.55,75.7,,69.23,0,0.16,,0.37,22.31,26.15,,18.45,0.0,0,-49.65,,0
101.3,50.2,1,75.8,72.4,87.5,63,3396b1d4618711e382ff0ef840307e44_5.jpg,76.5,46.2,bangkok,1,0.67,0.2,62.31,31.6666666667,0.42,79.5,72.4,75.8,93.1,79.5,8.27,93.1,,62.31,0,0.2,,0.87,25.38,56.92,,32.67,1.0,0.01,14.01,,0
94,79.8,0.99,109.2,70.9,84.8,99.9,27d049a05d0e11e38d441210643c776b_5.jpg,65.6,81.9,sao_paulo,0.99,-12.45,,86.15,20.0,0.8,107,70.9,109.2,96.9,107,-5.63,96.9,0.03,86.15,0,,0.13,0.91,56.92,37.69,,46.17,1.0,0.39,8.54,,1
116.9,78,0.01,109.7,88.5,100.2,95.1,0feaece060de11e393b112096d51461e_5.jpg,84.3,79.3,moscow,1,-1.11,,74.62,35.3333333333,0.98,109,88.5,109.7,116.8,109,-2.91,116.8,,74.62,0,,0.02,0.98,49.23,63.08,0.01,28.76,0.0,0,-6.85,,0
70.5,74.2,0.98,90.6,46.4,59.7,83.5,68ea1f4e5cee11e3b54912d2b760b55d_5.jpg,51.5,68.4,ny,0.99,2.24,,53.08,32.3333333333,0.05,95.7,46.4,90.6,62,95.7,15.48,62,,53.08,0,0.55,0.17,0.22,48.46,33.85,,25.2,1.0,0.01,23.66,,0
76.7,62.6,0.01,100.7,38.5,55.2,93.2,ba18882a5e9111e3be511244bbeab6f1_5.jpg,35.5,64.2,berlin,0.97,-20.04,0.01,106.92,31.0,0.97,100.1,38.5,100.7,81.9,100.1,-2.29,81.9,,106.92,0.3,,0.03,1,26.15,6.15,,20.92,0.0,0.26,-14.62,,1
115.8,67.8,0,103.6,99.1,101.2,87.8,41868a1e60fe11e398f612e173ceb082_5.jpg,91.7,73.6,bangkok,0.99,6.01,,64.62,23.0,0.98,99.9,99.1,103.6,120.2,99.9,-10.87,120.2,0.04,64.62,0.49,,0.04,0.54,44.62,74.62,,24.99,0.0,0,-34.93,,0.99
106,22.2,0,65.4,72.8,88.3,37.8,5a01f42c61c411e382a11226224b1259_5.jpg,66.6,26.3,moscow,1,15.23,,86.15,21.0,0.16,62.8,72.8,65.4,104.7,62.8,-7.33,104.7,,86.15,0.86,0.06,0.12,,-1.54,42.31,,15.38,0.0,0.03,5.19,0.06,0
100.8,55.1,0.09,78.4,59.8,84.7,73.1,6891a0b25d5211e3b1ea0e8b2175c26f_5.jpg,68.8,44.6,sao_paulo,1,-8.52,,86.15,19.6666666667,1,86.6,59.8,78.4,87,86.6,17.71,87,,86.15,0.02,,0.02,0.99,16.15,37.69,0.01,27.46,0.0,0,30.26,,0
111.8,40,0.91,56.5,101,109.9,46.6,887eb2fe5fe911e38ccc125105f263a4_5.jpg,101,38.9,ny,0.98,12.24,,37.69,35.3333333333,0.55,56.2,101,56.5,110,56.2,2.28,110,,37.69,0.49,0.04,,,22.31,85.38,0.11,0.07,1.0,0,57.56,0.7,0.09
99.5,70.7,0.01,90.9,57.4,67.3,79.4,7c4301ec61ca11e3963312bb693d77b1_5.jpg,66.8,52.4,bangkok,0.99,-10.89,,99.23,21.6666666667,0.77,102.4,57.4,90.9,79.5,102.4,31.31,79.5,,99.23,0.02,,0.07,0.22,23.08,27.69,,18.64,0.0,0,-31.94,0.1,0
128.8,32.9,0.88,86.2,91,104.1,58.1,682a0976611b11e3bc6c0a0f0cfeba95_5.jpg,81.9,34.6,ny,0.36,12.38,,100.77,30.0,0.03,88.5,91,86.2,125.6,88.5,-3.12,125.6,0.11,100.77,0.1,,0.28,0.1,1.54,57.69,,27.04,0.0,0,-7.89,,0.74
120.8,54.9,0.94,92.7,84.2,106.3,67.2,519d3bf4601911e3993712907bd3fa38_5.jpg,91.9,53.8,ny,0.01,14.58,,100.77,17.3333333333,0.05,94.7,84.2,92.7,114.3,94.7,5.61,114.3,,100.77,0,0.24,,0.57,15.38,52.31,0.05,44.81,0.0,0.99,9.33,,0.61
110.1,33,0,71.5,73.5,88.3,58.4,1f054ace5d3011e397651270abe28de5_5.jpg,71,27.4,ny,1,-10.82,,86.15,16.3333333333,0.07,74.5,73.5,71.5,96.2,74.5,8.05,96.2,,86.15,0.4,0.02,0.45,,3.08,44.62,,18.68,0.0,0.01,1.96,0.89,0.19
88.4,39,0,82.7,54.4,73.9,66.4,5c4055d460bc11e3ae6412cc2052207c_5.jpg,47.5,41.4,bangkok,1,-9.66,,88.46,20.6666666667,0.92,79.5,54.4,82.7,88.4,79.5,-4.4,88.4,,88.46,0,,0.05,0.42,12.31,23.85,,21.88,0.0,0,6.96,0.05,0.28
74.5,55,0,81.4,50.6,61.5,73.4,5a9d7f1e602011e3becb129ac153a6d5_5.jpg,47.6,56.7,sao_paulo,1,-9.38,,70.77,24.6666666667,0.94,79.9,50.6,81.4,74.9,79.9,-4.52,74.9,0,70.77,0.44,0,,1,29.23,26.15,,26.7,0.0,0,-2.88,,0
86.8,25.4,0.98,36.3,77.7,82.5,31.4,0e7594b05ed511e39fc412d5b4f18e0e_5.jpg,77,24.9,sao_paulo,1,-2.98,,30.77,25.6666666667,0.84,36.6,77.7,36.3,84.8,36.6,2.25,84.8,0.09,30.77,0,0.07,,0.06,13.85,66.15,,31.95,1.0,0,17.23,,0
92.5,90.2,0.97,125.8,68.8,77.4,105.9,0523bbda5ec611e3b8f30efae419d75e_5.jpg,65.7,90.9,ny,0.82,7.6,,73.85,34.3333333333,0.54,125.7,68.8,125.8,87.6,125.7,-1.5,87.6,0.07,73.85,0,,0.05,,63.08,36.15,,50.36,0.0,0.03,-5.87,0.4,1
121,37.3,0,55.4,96.5,103.2,43.5,321087ba604011e3b2dc0ed7db0906c0_5.jpg,101.8,31.8,sao_paulo,1,3.19,0.02,50,24.3333333333,0.9,58.5,96.5,55.4,110.1,58.5,16.86,110.1,,50,0.69,,,0.28,14.62,83.85,,21.58,0.0,0,-29.11,0.18,0
