Name;Facebook;Flickr;GMail;Google+;LastFM;LinkedIN;Twitter;Degree
81;0;0;1;0;0;0;0;2
82;0;0;1;0;0;0;0;2
83;1;0;0;0;0;0;0;6
84;1;0;1;1;0;1;0;73
85;1;0;0;0;0;0;0;2
86;0;0;1;0;0;1;0;4
87;0;0;0;0;1;0;0;13
88;1;0;0;0;0;0;0;30
89;1;0;0;0;0;0;0;11
91;0;0;0;0;0;1;0;12
92;1;0;1;0;0;0;0;9
93;0;0;1;0;0;0;0;7
94;0;0;0;0;0;0;1;9
95;1;0;0;0;0;0;0;4
96;0;0;1;0;0;0;0;1
97;0;0;1;0;0;0;0;15
98;1;0;0;0;0;0;0;13
99;0;0;1;0;0;0;0;22
100;0;0;0;0;0;0;1;1
101;0;0;1;0;0;0;0;1
102;0;0;1;0;0;0;0;4
103;1;0;0;0;0;0;0;2
104;0;0;0;0;0;1;0;5
105;1;0;0;0;0;0;0;20
106;0;1;0;0;0;1;0;7
107;1;1;0;0;1;1;0;33
108;1;0;0;0;0;0;0;1
109;1;0;1;0;0;1;0;59
110;1;0;1;0;0;0;0;42
111;0;0;0;0;0;0;1;19
112;0;0;0;0;0;1;0;2
113;0;0;1;0;0;0;0;8
114;1;0;1;0;0;1;1;160
115;1;0;0;0;0;1;1;34
116;0;0;1;0;0;0;0;10
117;1;0;1;0;0;0;0;61
118;1;0;1;1;0;1;0;94
119;1;0;0;0;0;0;0;1
120;0;0;1;0;0;1;1;44
121;1;0;0;0;0;0;0;23
122;1;0;1;0;0;1;0;76
123;0;0;1;0;0;0;0;3
124;0;0;1;0;0;1;0;13
125;1;0;1;0;0;1;0;59
126;1;0;0;1;0;1;0;33
127;0;0;1;0;0;0;0;49
128;0;0;1;0;0;0;0;31
129;0;0;1;0;0;0;0;3
130;1;0;1;1;0;1;0;67
131;1;0;0;0;0;0;0;4
132;1;0;1;1;1;1;1;87
133;0;0;0;0;1;0;0;9
134;0;0;0;0;0;0;1;6
135;1;0;1;0;0;0;0;47
136;0;0;0;1;0;1;1;6
137;0;0;0;0;1;0;0;2
138;0;0;0;0;0;0;1;29
139;1;0;0;0;0;0;0;8
140;1;0;0;0;0;0;0;5
141;1;0;1;1;0;1;1;83
143;1;0;1;1;0;1;1;97
144;0;0;0;0;0;1;1;39
145;1;0;0;0;0;0;0;19
146;1;0;0;0;0;0;0;7
147;0;0;0;0;1;0;0;1
148;1;0;0;0;0;0;0;12
149;0;0;0;0;0;0;1;1
150;0;0;0;0;0;0;1;1
151;1;0;0;0;0;0;0;13
152;1;0;1;1;1;1;1;126
153;1;0;0;0;0;0;0;10
154;0;0;1;1;0;1;0;19
155;1;0;1;0;0;0;0;3
156;0;0;0;0;0;1;0;7
157;1;0;1;1;0;0;0;38
158;1;0;0;0;0;0;0;5
159;1;0;0;0;0;0;0;2
160;0;0;1;0;0;1;0;126
161;0;0;0;0;0;0;1;5
162;0;0;1;0;0;0;0;31
163;0;0;0;0;0;0;1;17
164;1;0;0;0;0;1;0;11
165;0;0;0;0;1;0;0;6
166;1;0;0;0;0;0;0;12
167;1;0;0;0;0;1;0;18
168;0;0;1;0;0;0;0;17
169;1;0;0;0;0;0;0;8
170;0;0;0;0;0;1;0;5
171;1;0;0;0;0;0;0;21
172;1;1;1;1;1;1;0;106
173;0;0;1;0;0;0;0;6
174;0;0;1;0;0;0;0;1
175;1;0;0;0;0;0;0;8
176;1;0;0;0;0;0;0;1
177;1;0;0;0;0;0;0;2
178;0;0;0;0;0;1;0;8
179;1;0;1;0;0;0;0;13
180;0;0;1;0;0;0;0;4
181;0;0;0;0;0;1;0;17
182;0;0;1;0;0;0;0;13
183;0;0;1;0;0;0;0;1
184;0;0;0;0;0;1;0;4
185;0;1;1;1;0;0;0;32
186;1;0;1;1;0;1;1;48
187;1;0;0;0;0;0;0;7
188;0;0;0;0;0;1;0;9
189;0;0;1;0;0;0;0;3
190;0;0;0;0;0;0;1;34
191;0;0;1;0;0;0;0;1
192;0;0;1;0;0;0;0;2
193;0;0;0;1;0;0;0;7
194;0;0;0;0;0;1;0;11
195;1;0;0;0;0;0;0;5
196;0;0;0;0;0;1;0;3
197;0;0;0;0;0;1;0;3
198;1;0;1;1;0;1;1;105
199;1;1;0;0;1;1;1;14
200;1;1;1;1;0;1;1;110
201;1;0;0;0;0;0;0;4
202;1;0;0;0;0;0;0;13
203;1;0;0;0;0;0;0;24
204;1;0;0;0;0;0;0;10
205;0;0;0;0;0;1;0;5
206;1;0;1;1;0;1;1;56
207;1;0;1;0;0;1;0;21
208;0;0;0;0;0;1;0;10
209;0;0;0;0;1;0;0;4
210;1;0;0;0;0;0;0;8
211;1;0;1;0;0;1;0;132
212;0;0;0;0;1;0;0;1
213;0;1;0;0;1;0;0;4
214;0;0;0;0;0;1;0;7
215;1;0;0;0;0;0;0;11
216;1;0;0;0;0;0;0;14
217;1;0;1;1;1;1;1;40
218;0;0;1;0;0;1;1;49
219;1;0;0;0;0;0;0;3
220;1;0;0;1;0;1;0;40
221;1;0;0;0;0;0;0;13
222;0;0;1;0;0;0;0;2
225;1;0;0;0;0;1;0;29
226;0;0;1;0;0;0;0;34
227;1;0;0;0;0;1;0;10
228;1;0;0;0;0;0;0;9
229;0;0;1;0;0;1;0;14
230;1;0;0;0;0;0;0;15
231;1;1;0;0;0;1;0;48
232;0;0;1;0;0;0;0;52
233;0;0;1;0;0;1;0;41
234;0;0;1;0;0;0;0;1
235;1;0;0;0;0;0;0;2
236;1;0;0;0;0;1;0;29
237;1;0;0;1;0;0;0;33
238;1;0;0;1;0;1;0;21
239;1;0;1;0;0;1;0;49
240;1;0;0;0;0;1;0;40
241;1;0;1;1;0;1;0;64
242;1;0;0;0;0;0;0;13
243;1;0;0;1;1;0;0;19
244;1;0;1;0;0;1;0;27
245;0;0;1;0;0;0;0;5
246;0;0;1;0;0;0;0;3
247;1;0;0;0;0;0;0;2
248;0;0;0;0;1;0;0;2
249;1;0;0;0;0;1;0;31
250;1;0;1;0;0;1;0;20
251;0;0;1;0;0;0;0;12
252;1;0;1;1;0;1;0;72
253;1;0;0;0;0;0;0;6
254;1;0;0;1;0;0;0;45
255;0;0;1;0;0;0;0;19
256;0;0;1;0;0;0;0;8
257;1;0;0;0;0;0;0;5
258;1;0;0;0;0;0;0;4
259;0;0;0;0;1;0;0;9
260;1;0;1;1;1;1;1;74
261;0;0;0;0;0;1;0;2
262;0;0;1;0;0;0;0;42
263;1;0;0;0;0;0;0;4
264;0;0;0;0;1;0;0;9
265;1;1;1;1;0;1;0;84
266;0;0;1;0;0;0;0;1
267;0;0;0;0;0;0;1;9
268;1;0;1;1;0;1;0;77
269;0;0;1;0;0;0;0;2
270;0;0;0;0;0;1;1;28
271;0;0;1;0;0;0;0;2
272;0;0;1;0;0;0;0;2
273;1;0;1;0;0;0;0;4
274;0;0;0;0;0;1;0;6
275;0;0;0;0;1;0;0;5
276;0;0;0;0;0;1;0;7
277;1;0;0;1;0;0;0;4
278;0;0;1;0;0;0;0;13
279;1;0;0;0;0;0;0;8
280;0;0;1;0;0;0;0;1
281;1;0;0;0;0;0;0;14
282;1;0;1;0;1;0;1;28
283;0;0;1;0;0;0;0;6
284;0;0;1;1;0;1;1;46
285;0;0;1;0;0;1;0;33
287;0;0;0;0;0;0;1;19
288;0;0;1;0;0;0;0;1
289;1;0;1;0;0;1;0;68
290;0;0;0;0;0;1;0;6
291;1;0;0;0;0;0;0;2
292;1;0;1;0;0;1;0;72
293;1;0;1;0;0;1;0;13
294;0;0;0;0;0;1;0;1
295;1;0;0;0;0;0;0;5
296;1;0;0;0;0;1;0;6
297;0;0;1;0;0;0;0;3
298;1;0;1;1;0;1;0;63
299;1;0;0;0;0;1;0;10
300;0;0;1;0;0;0;0;2
301;0;0;1;0;0;0;0;1
302;0;0;1;0;0;0;0;3
303;1;0;0;0;0;0;0;18
304;0;0;1;0;0;0;0;1
305;1;0;1;0;0;0;0;8
306;1;0;0;0;0;0;0;13
307;0;0;0;0;0;1;0;4
308;1;0;1;1;0;1;0;43
309;1;0;1;0;0;1;0;82
310;0;0;1;0;0;1;1;48
311;0;0;1;1;0;1;1;30
312;0;0;1;0;0;0;0;1
313;1;0;0;0;0;0;0;1
314;0;0;0;0;0;1;0;3
315;0;0;1;0;0;0;0;1
316;1;0;1;0;0;0;0;23
317;1;0;0;0;0;0;0;1
318;1;0;0;0;0;0;0;7
319;0;0;0;0;1;0;0;3
320;0;0;0;0;0;0;1;16
321;1;0;0;0;0;0;0;8
323;1;0;0;0;0;1;0;4
324;1;0;1;0;0;1;0;47
325;1;0;0;0;0;0;0;7
326;0;0;1;0;0;0;0;33
327;0;0;1;0;0;0;1;11
328;1;0;0;0;0;0;0;5
329;0;0;0;0;1;0;0;5
330;1;0;0;0;0;0;0;5
331;0;0;0;0;0;1;0;9
332;0;0;1;0;0;0;0;21
333;1;0;1;1;0;0;0;14
334;1;0;0;0;0;0;0;10
335;1;0;1;0;0;1;0;47
336;1;0;0;0;0;0;0;7
337;1;0;0;0;0;0;0;5
338;1;0;1;1;0;1;1;54
339;1;0;0;0;0;0;0;5
340;1;0;0;0;0;1;0;26
341;1;1;0;1;0;1;0;21
342;1;0;0;0;0;0;0;12
343;1;0;0;0;0;0;0;15
344;0;0;1;0;0;0;0;4
345;0;0;0;0;1;1;0;3
346;1;1;1;1;0;1;0;61
347;1;0;1;0;1;1;1;84
348;1;0;1;0;0;1;0;47
349;1;1;0;0;0;0;0;5
350;1;0;0;0;0;0;0;12
351;1;0;1;0;0;0;1;22
352;1;0;0;0;0;0;0;9
353;1;0;0;0;0;0;0;20
355;0;0;1;0;0;0;0;5
356;0;0;1;0;0;0;0;1
357;0;0;1;0;0;0;0;2
358;1;0;0;0;0;0;0;8
359;0;0;0;1;0;0;0;1
360;0;0;1;0;0;1;0;22
361;0;0;0;0;1;0;0;1
362;0;0;0;0;0;0;1;5
363;0;0;0;0;1;0;0;1
364;0;0;1;0;0;1;0;53
365;1;1;0;1;0;1;0;18
366;0;0;0;0;0;1;0;17
367;1;0;0;0;0;0;0;14
368;1;0;0;0;0;1;0;15
369;1;0;0;1;0;0;0;24
370;1;1;0;0;1;0;0;14
371;0;1;0;0;0;0;0;1
372;0;0;1;0;0;0;0;2
373;0;0;0;1;0;0;0;5
374;1;0;0;0;0;0;0;4
375;0;0;1;0;0;0;0;37
376;0;0;1;0;0;0;0;8
377;1;0;0;0;0;0;0;17
378;1;0;0;0;0;1;0;25
379;1;0;0;0;0;0;0;2
380;1;0;0;0;1;0;0;6
381;0;0;1;0;0;1;0;51
382;1;0;0;0;0;0;0;8
383;1;0;1;0;0;0;0;26
384;0;0;1;1;0;1;0;18
385;0;0;1;0;0;1;0;37
386;1;0;0;0;0;0;0;10
387;1;0;0;0;0;0;0;8
388;0;0;1;0;0;0;0;1
389;0;0;0;0;0;0;1;13
390;1;0;1;0;0;1;0;79
391;1;0;0;0;0;0;0;6
392;1;0;1;0;0;0;0;23
393;0;0;0;0;1;0;0;1
394;0;0;1;1;0;0;0;27
395;0;0;1;0;0;0;0;14
396;1;0;0;0;0;0;0;17
397;0;0;0;0;0;0;1;1
398;0;0;1;0;0;1;1;29
399;1;0;0;0;0;0;0;5
400;0;0;0;0;0;0;1;7
401;1;0;0;0;0;1;0;10
402;1;0;1;1;0;1;1;31
403;1;0;0;0;0;1;1;10
404;1;1;0;1;1;1;1;36
405;0;0;1;0;0;0;0;1
406;1;1;0;0;1;0;0;6
407;0;0;1;0;0;0;0;5
408;0;0;1;0;0;0;0;3
409;1;0;1;0;0;1;1;28
410;1;0;1;1;0;1;1;115
411;0;0;1;0;0;0;0;1
412;1;0;0;0;0;0;0;2
413;0;0;0;0;0;1;0;6
414;1;0;0;0;0;0;1;13
415;1;0;0;0;0;0;0;4
416;0;0;1;1;0;0;1;35
417;0;1;1;0;0;0;1;79
418;0;0;1;0;0;0;0;2
419;1;0;0;0;0;0;0;18
420;0;0;0;0;0;1;0;2
421;0;0;0;0;0;0;1;2
422;1;0;0;0;0;0;0;1
423;1;0;1;0;0;0;0;86
424;1;0;0;0;0;0;0;2
425;1;0;1;0;0;1;0;21
426;1;0;0;0;0;0;0;3
427;0;0;1;1;0;1;0;76
428;1;0;0;0;0;0;0;2
429;0;0;1;0;0;0;0;4
430;0;0;1;0;0;0;0;2
431;0;0;0;0;0;0;1;3
432;0;0;1;0;0;0;0;16
433;1;0;0;0;0;0;0;3
434;0;0;0;0;0;0;1;27
435;1;0;1;0;0;0;0;7
436;0;0;0;0;1;0;0;3
437;1;0;1;1;0;0;0;46
438;0;0;1;0;0;0;0;5
439;1;0;0;0;0;0;0;12
440;1;0;0;0;0;1;0;18
441;1;0;0;0;0;0;0;18
442;1;0;0;0;0;0;0;14
443;1;0;0;0;0;0;0;14
444;1;0;0;0;0;0;0;8
445;1;0;0;0;0;0;0;5
446;1;0;0;0;0;0;0;7
447;0;0;1;0;0;0;0;3
448;1;0;0;0;0;0;0;9
449;1;0;0;0;0;1;0;16
450;0;0;0;0;1;0;0;3
451;1;0;0;0;0;0;0;1
452;1;0;0;0;0;1;0;6
453;1;0;1;0;0;1;0;35
454;0;0;1;0;0;0;0;1
455;0;0;1;0;0;0;0;2
456;0;0;1;0;0;0;0;4
457;1;0;0;0;0;0;0;5
458;1;0;0;0;0;0;0;4
459;0;0;0;0;0;0;1;10
460;1;0;0;0;0;0;0;17
461;0;0;1;0;0;0;0;2
462;0;0;1;0;0;1;0;46
463;1;0;0;0;0;0;0;9
464;1;0;0;0;0;0;0;12
465;0;0;1;0;0;1;0;42
466;1;0;0;0;0;0;0;3
467;0;0;1;0;0;0;0;1
468;1;0;0;1;0;0;0;36
469;1;0;0;0;0;0;0;13
470;0;0;1;0;0;0;0;12
471;1;1;0;1;0;1;0;60
472;0;0;1;0;0;0;0;1
473;0;0;1;1;0;1;0;31
474;1;0;0;1;0;0;0;29
475;1;0;0;0;0;0;0;2
476;0;0;1;0;0;1;0;32
477;1;0;0;0;0;1;0;9
478;0;0;1;0;0;0;0;18
479;0;0;1;0;0;0;0;50
480;1;0;0;0;0;1;0;25
481;0;0;0;0;1;0;0;2
482;0;0;1;0;0;0;0;3
483;1;0;0;0;0;0;0;5
484;1;0;0;1;0;0;0;30
485;0;0;1;0;0;0;0;9
486;1;0;0;0;0;1;0;26
487;1;0;0;0;0;0;0;1
488;0;0;1;0;0;0;0;1
489;0;0;1;0;0;0;0;1
490;1;1;0;0;0;1;0;45
491;0;0;0;0;0;1;0;1
492;0;0;0;0;0;1;0;6
493;1;0;1;0;0;1;0;88
494;0;0;1;0;0;0;0;4
495;1;0;1;0;0;0;0;5
496;0;0;1;1;0;1;1;44
497;1;0;0;0;0;0;0;3
498;1;0;1;1;0;1;1;94
499;1;0;1;1;0;0;0;23
500;1;0;0;0;0;0;0;5
501;1;1;0;1;0;1;0;21
502;0;0;0;0;0;0;1;3
503;1;0;0;0;0;1;0;22
504;0;0;1;1;0;0;1;40
505;0;0;0;0;0;1;0;2
506;0;0;0;0;0;1;0;6
507;1;0;1;1;0;0;0;103
508;1;0;1;0;0;1;1;51
509;1;0;1;0;0;1;1;31
510;1;0;1;1;0;1;1;68
511;0;0;0;0;0;1;0;2
512;0;0;1;0;0;0;0;9
513;1;0;0;0;0;0;0;4
514;1;0;0;1;0;0;0;39
515;1;0;1;0;0;1;0;58
516;1;1;1;1;0;1;0;69
517;1;0;0;0;0;0;0;15
518;1;0;0;1;1;1;0;37
519;1;0;0;0;0;1;0;32
520;1;0;0;0;0;1;0;3
521;0;0;1;0;0;1;0;6
522;0;0;1;0;0;1;0;49
523;1;0;1;1;0;1;1;122
524;1;0;1;1;0;1;0;58
525;0;0;1;0;0;0;0;1
526;0;0;1;0;0;0;0;5
527;0;0;1;0;0;0;0;2
528;0;0;0;0;0;0;1;8
529;0;0;0;0;0;0;1;5
530;1;0;0;0;0;0;0;26
531;1;0;0;0;0;0;0;2
532;1;0;0;0;0;0;0;7
533;0;0;0;0;0;1;0;3
534;1;0;0;0;0;0;0;9
535;1;0;0;0;0;0;0;5
536;0;0;1;0;0;0;0;4
537;0;0;0;0;0;0;1;9
538;0;1;0;0;0;0;0;1
539;0;0;1;0;0;1;0;6
540;0;0;0;0;1;0;0;1
541;1;0;1;1;0;1;1;78
542;1;0;0;1;0;0;0;25
543;0;0;0;0;1;0;0;1
544;0;0;1;0;0;0;0;17
545;1;0;0;0;0;0;0;31
546;0;0;0;0;0;0;1;12
547;0;0;1;0;0;0;0;26
548;1;0;0;0;0;0;0;1
549;0;0;0;0;0;1;0;8
551;1;0;0;0;0;0;0;27
552;1;0;1;0;0;1;0;19
553;1;0;1;1;0;1;0;35
554;1;0;1;1;1;1;1;67
556;0;0;1;0;0;0;0;3
557;1;0;0;0;0;0;0;12
558;0;0;1;0;0;0;0;1
559;0;0;0;0;0;1;0;4
560;0;0;1;0;0;0;0;3
561;1;0;0;0;0;0;0;22
562;1;0;0;0;0;0;0;8
563;0;0;0;0;0;1;0;5
564;0;0;0;0;0;0;1;36
565;1;0;0;0;0;1;0;18
566;1;0;1;0;0;0;0;13
567;0;0;0;0;1;0;0;14
568;0;0;1;0;0;0;1;13
569;0;0;1;0;0;0;0;2
570;1;0;0;0;0;1;0;37
571;0;0;0;0;1;0;0;4
572;1;0;0;0;0;1;0;15
573;0;0;1;0;0;0;0;2
574;1;0;0;0;0;0;0;10
575;0;0;1;0;0;0;0;33
576;0;0;1;0;0;0;0;4
577;0;0;0;0;0;0;1;3
578;0;0;1;0;0;0;0;6
579;0;0;0;0;0;0;1;9
580;0;0;0;0;0;0;1;33
581;0;0;0;0;1;0;0;6
582;1;0;1;1;0;1;1;116
583;0;0;0;0;0;1;0;10
584;0;0;1;0;0;0;0;28
585;1;0;0;0;0;0;0;8
587;0;0;0;0;0;1;0;7
588;0;0;0;0;0;1;0;3
589;0;0;1;0;0;0;0;3
590;0;0;1;0;0;0;0;1
591;0;0;0;0;0;0;1;8
592;0;0;1;0;0;0;0;4
593;0;0;1;0;0;0;0;20
594;1;0;0;0;0;0;0;14
595;0;0;0;0;0;1;0;1
596;1;0;1;0;0;1;1;12
597;0;0;1;0;0;0;0;1
598;1;0;1;0;0;0;0;4
599;1;0;1;0;0;0;0;40
600;0;0;0;0;1;0;0;3
601;0;0;1;0;0;1;0;14
602;0;0;0;0;1;0;0;14
603;1;0;0;0;0;0;0;16
604;1;0;0;1;0;1;0;29
605;0;0;0;0;1;0;0;3
606;1;1;0;1;1;1;0;45
607;0;0;1;0;0;0;0;3
608;1;0;0;0;0;1;0;12
609;0;0;1;0;0;0;0;38
610;1;0;0;0;0;0;0;11
611;0;0;0;0;0;0;1;13
612;1;0;1;0;0;1;1;19
613;1;0;0;0;0;0;0;5
614;0;0;1;0;0;0;0;13
615;1;0;0;0;1;0;0;7
616;1;0;0;1;0;1;0;31
617;0;0;0;0;1;0;0;2
618;0;0;0;0;0;0;1;6
619;1;0;0;0;0;0;0;26
620;0;0;1;0;0;1;0;14
621;0;0;1;0;0;0;0;4
622;0;0;0;0;0;1;0;1
623;1;0;1;0;0;0;0;34
624;1;0;1;1;0;1;1;123
625;1;0;0;1;0;1;1;42
626;0;0;0;0;0;1;0;4
627;0;0;0;0;0;0;1;26
628;1;0;0;0;0;1;0;32
